m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1033,728,860.833,132.833,84.56924862,,11.47192878,,,
1082,792,901.667,109.667,87.83730579,,0.014153009,,,
1173,878,977.5,99.5,89.82097187,,3.477104811,,,
1190,893,991.667,98.6667,90.0503899,,4.385328896,,,
1098,807,915,108,88.19672131,,0.05781577,,,
1172,887,976.667,89.6667,90.81908163,,8.195677785,,,
1143,845,952.5,107.5,88.71391076,,0.574016174,,,
1079,807,899.167,92.1667,89.74973503,,3.216508896,,,
1040,737,866.667,129.667,85.03842883,,8.513809982,,,
1139,842,949.167,107.167,88.70936305,,0.567145816,,,
1145,854,954.167,100.167,89.50215214,,2.389744755,,,
1171,845,975.833,130.833,86.59268543,,1.85936891,,,
1125,806,937.5,131.5,85.97333333,,3.932046589,,,
1024,750,853.333,103.333,87.89065933,,0.00430505,,,
1051,763,875.833,112.833,87.11706455,,0.704269489,,,
1067,757,889.167,132.167,85.13586312,,7.954707453,,,
1094,788,911.667,123.667,86.43506895,,2.314059373,,,
1080,816,900,84,90.66666667,,7.346238111,,,
1097,807,914.167,107.167,88.27708723,,0.102922276,,,
1043,772,869.167,97.1667,88.82067543,,0.747192924,,,
1018,764,848.333,84.3333,90.05897448,,4.421356848,,,
1005,733,837.5,104.5,87.52238806,,0.188255456,,,
1122,843,935,92,90.16042781,,4.858301898,,,
1157,855,964.167,109.167,88.67758386,,0.5202905,,,
1149,839,957.5,118.5,87.62402089,,0.110390941,,,
1119,845,932.5,87.5,90.61662198,,7.07746092,,,
1192,881,993.333,112.333,88.69130493,,0.540273099,,,
1010,732,841.667,109.667,86.97026259,,0.972214979,,,
1012,754,843.333,89.3333,89.40714996,,2.105046255,,,
1153,875,960.833,85.8333,91.0668139,,9.675469605,,,
1143,847,952.5,105.5,88.92388451,,0.936273572,,,
1090,805,908.333,103.333,88.62388573,,0.445707817,,,
1041,759,867.5,108.5,87.49279539,,0.214810764,,,
1099,799,915.833,116.833,87.24297989,,0.508785936,,,
1101,775,917.5,142.5,84.46866485,,12.1634051,,,
1072,782,893.333,111.333,87.5373461,,0.175499089,,,
1031,787,859.167,72.1667,91.60035243,,13.27932068,,,
1136,865,946.667,81.6667,91.37320726,,11.67544516,,,
1043,746,869.167,123.167,85.82930553,,4.523987256,,,
1136,823,946.667,123.667,86.93658911,,1.039753631,,,
1138,850,948.333,98.3333,89.63096296,,2.80458912,,,
1223,932,1019.17,87.1667,91.44696174,,12.18491342,,,
1122,846,935,89,90.48128342,,6.375681623,,,
1052,804,876.667,72.6667,91.71099174,,14.09791879,,,
1023,755,852.5,97.5,88.56304985,,0.368179108,,,
1042,752,868.333,116.333,86.60272038,,1.832102543,,,
1039,775,865.833,90.8333,89.50917787,,2.411515979,,,
1078,774,898.333,124.333,86.1595867,,3.228078818,,,
1033,763,860.833,97.8333,88.63507788,,0.460777143,,,
1047,774,872.5,98.5,88.71060172,,0.569013008,,,
1050,748,875,127,85.48571429,,6.103656457,,,
1062,767,885,118,86.66666667,,1.663082457,,,
1037,749,864.167,115.167,86.67306204,,1.646628352,,,
1104,833,920,87,90.54347826,,6.69363515,,,
1022,775,851.667,76.6667,90.99800744,,9.252153192,,,
1041,767,867.5,100.5,88.41498559,,0.210417966,,,
1136,826,946.667,120.667,87.2534904,,0.493902267,,,
1138,825,948.333,123.333,86.99475817,,0.924509248,,,
1057,792,880.833,88.8333,89.91488739,,3.836173404,,,
1155,835,962.5,127.5,86.75324675,,1.44727025,,,
1128,808,940,132,85.95744681,,3.995302986,,,
1047,761,872.5,111.5,87.22063037,,0.541168913,,,
1091,815,909.167,94.1667,89.64249692,,2.843353783,,,
1024,753,853.333,100.333,88.24222197,,0.081767265,,,
1298,955,1081.67,126.667,88.28940435,,0.110977021,,,
1157,828,964.167,136.167,85.87723911,,4.322378635,,,
1152,806,960,154,83.95833333,,15.98351526,,,
1061,800,884.167,84.1667,90.48064449,,6.372455426,,,
1094,764,911.667,147.667,83.80252877,,17.25358453,,,
1114,830,928.333,98.3333,89.4075725,,2.106272527,,,
1090,787,908.333,121.333,86.64223363,,1.726697389,,,
1064,776,886.667,110.667,87.51876409,,0.191413354,,,
1183,902,985.833,83.8333,91.49622705,,12.53128026,,,
1083,784,902.5,118.5,86.86980609,,1.180408621,,,
1076,781,896.667,115.667,87.10033937,,0.73262103,,,
1157,847,964.167,117.167,87.84785208,,0.011754924,,,
1049,773,874.167,101.167,88.42703968,,0.221622015,,,
1078,802,898.333,96.3333,89.27647097,,1.742924778,,,
1069,786,890.833,104.833,88.23202553,,0.076039894,,,
1012,737,843.333,106.333,87.39133889,,0.319149656,,,
1004,708,836.667,128.667,84.62148023,,11.12083755,,,
1169,831,974.167,143.167,85.30364917,,7.036408998,,,
1029,763,857.5,94.5,88.97959184,,1.047183058,,,
1129,848,940.833,92.8333,90.13289287,,4.737677509,,,
1008,762,840,78,90.71428571,,7.60663849,,,
1232,912,1026.67,114.667,88.83088042,,0.76493952,,,
1052,769,876.667,107.667,87.71859783,,0.056489113,,,
1103,812,919.167,107.167,88.34085645,,0.147905037,,,
1156,870,963.333,93.3333,90.31144993,,5.546862115,,,
1089,797,907.5,110.5,87.82369146,,0.017577655,,,
1174,876,978.333,102.333,89.54006458,,2.508398269,,,
1224,906,1020,114,88.82352941,,0.752135054,,,
1059,766,882.5,116.5,86.79886686,,1.339587155,,,
1133,811,944.167,133.167,85.8958214,,4.245457557,,,
1107,810,922.5,112.5,87.80487805,,0.022920192,,,
1129,841,940.833,99.8333,89.38887135,,2.052340299,,,
1178,875,981.667,106.667,89.13409537,,1.387267397,,,
1007,733,839.167,106.167,87.34852538,,0.369356206,,,
1112,815,926.667,111.667,87.94960865,,4.4403E-05,,,
1108,808,923.333,115.333,87.50905686,,0.200001567,,,
1120,835,933.333,98.3333,89.46431767,,2.274201097,,,
1087,798,905.833,107.833,88.09570859,,0.019442504,,,
1148,849,956.667,107.667,88.74561368,,0.623059952,,,
1186,850,988.333,138.333,86.00340169,,3.813703278,,,
1102,797,918.333,121.333,86.7876903,,1.365583671,,,
1017,748,847.5,99.5,88.25958702,,0.091999874,,,
1135,814,945.833,131.833,86.06170434,,3.589387418,,,
1035,761,862.5,101.5,88.23188406,,0.075961891,,,
1173,865,977.5,112.5,88.49104859,,0.28598578,,,
1066,771,888.333,117.333,86.79177741,,1.356048144,,,
1123,841,935.833,94.8333,89.86646122,,3.648822042,,,
1071,764,892.5,128.5,85.6022409,,5.541463426,,,
1053,759,877.5,118.5,86.4957265,,2.133193783,,,
1022,730,851.667,121.667,85.71425217,,5.026653875,,,
1082,797,901.667,104.667,88.39183424,,0.189714278,,,
1065,761,887.5,126.5,85.74647887,,4.883186591,,,
1090,787,908.333,121.333,86.64223363,,1.726697389,,,
1076,791,896.667,105.667,88.21558059,,0.067240835,,,
1031,756,859.167,103.167,87.9922064,,0.001291266,,,
1150,823,958.333,135.333,85.87829074,,4.318006989,,,
1249,902,1040.83,138.833,86.6616066,,1.676159035,,,
1022,779,851.667,72.6667,91.46767457,,12.32994655,,,
1087,809,905.833,96.8333,89.31006046,,1.832742636,,,
1150,826,958.333,132.333,86.19133433,,3.115005729,,,
1017,754,847.5,93.5,88.96755162,,1.02268605,,,
1038,776,865,89,89.71098266,,3.07900876,,,
1065,760,887.5,127.5,85.63380282,,5.393864082,,,
1074,803,895,92,89.72067039,,3.113100941,,,
1060,775,883.333,108.333,87.73588216,,0.048571772,,,
1158,843,965,122,87.35751295,,0.358512647,,,
1070,779,891.667,112.667,87.36445332,,0.350249597,,,
1076,783,896.667,113.667,87.32338761,,0.400542914,,,
1078,785,898.333,113.333,87.38407695,,0.327407414,,,
1018,757,848.333,91.3333,89.23382681,,1.632145758,,,
1135,814,945.833,131.833,86.06170434,,3.589387418,,,
1037,781,864.167,83.1667,90.37605,,5.855324551,,,
1090,801,908.333,107.333,88.1835186,,0.051640922,,,
1116,820,930,110,88.17204301,,0.046557038,,,
1140,853,950,97,89.78947368,,3.360627645,,,
1135,855,945.833,90.8333,90.39650763,,5.954748899,,,
1115,808,929.167,121.167,86.95961006,,0.993335443,,,
1059,741,882.5,141.5,83.96600567,,15.92222709,,,
1002,745,835,90,89.22155689,,1.600945312,,,
1175,849,979.167,130.167,86.70635346,,1.562296877,,,
1065,800,887.5,87.5,90.14084507,,4.772358582,,,
1094,817,911.667,94.6667,89.61605498,,2.75487886,,,
1034,740,861.667,121.667,85.88004415,,4.31072297,,,
1040,762,866.667,104.667,87.92304311,,0.001104173,,,
1163,851,969.167,118.167,87.80736447,,0.022173515,,,
1201,921,1000.83,79.8333,92.0236204,,16.54332126,,,
1085,794,904.167,110.167,87.81563583,,0.019778592,,,
1102,829,918.333,89.3333,90.27226507,,5.363822935,,,
1045,763,870.833,107.833,87.61725842,,0.114930351,,,
1035,766,862.5,96.5,88.8115942,,0.731575712,,,
1085,786,904.167,118.167,86.93084353,,1.051503982,,,
1101,805,917.5,112.5,87.73841962,,0.047459752,,,
1111,809,925.833,116.833,87.38076953,,0.33120333,,,
1121,839,934.167,95.1667,89.81263521,,3.446083603,,,
1105,805,920.833,115.833,87.42084613,,0.286681092,,,
