m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1328,933,1106.67,173.667,84.30697498,,8.502974008,,,
1286,923,1071.67,148.667,86.12725932,,1.200561987,,,
1379,974,1149.17,175.167,84.75682449,,6.081828888,,,
1185,873,987.5,114.5,88.40506329,,1.397366016,,,
1248,886,1040,154,85.19230769,,4.123552531,,,
1263,928,1052.5,124.5,88.17102138,,0.898818631,,,
1380,1017,1150,133,88.43478261,,1.468511805,,,
1214,884,1011.67,127.667,87.38027222,,0.024746846,,,
1252,931,1043.33,112.333,89.23351193,,4.042315356,,,
1375,986,1145.83,159.833,86.05115942,,1.373118752,,,
1197,871,997.5,126.5,87.31829574,,0.009088728,,,
1497,1117,1247.5,130.5,89.53907816,,5.364399052,,,
1145,831,954.167,123.167,87.09167263,,0.017236615,,,
1289,947,1074.17,127.167,88.16109182,,0.880089585,,,
1267,897,1055.83,158.833,84.95685859,,5.135219792,,,
1381,987,1150.83,163.833,85.76418759,,2.128019639,,,
1209,901,1007.5,106.5,89.4292804,,4.867845635,,,
1381,978,1150.83,172.833,84.98214332,,5.021263505,,,
1284,961,1070,109,89.81308411,,6.708738151,,,
1399,970,1165.83,195.833,83.20252524,,16.16390306,,,
1164,832,970,138,85.77319588,,2.101818682,,,
1385,955,1154.17,199.167,82.74344334,,20.06607775,,,
1364,1049,1136.67,87.6667,92.28711939,,25.64570104,,,
1283,973,1069.17,96.1667,91.00517224,,14.30512244,,,
1338,984,1115,131,88.25112108,,1.057113307,,,
1151,889,959.167,70.1667,92.68458986,,29.82939065,,,
1310,955,1091.67,136.667,87.48064891,,0.066403102,,,
1231,881,1025.83,144.833,85.8816763,,1.799044429,,,
1339,997,1115.83,118.833,89.35052831,,4.526542983,,,
1221,898,1017.5,119.5,88.25552826,,1.066195302,,,
1351,992,1125.83,133.833,88.11277013,,0.791760437,,,
1312,953,1093.33,140.333,87.16489989,,0.003371083,,,
1267,946,1055.83,109.833,89.59775721,,5.639657441,,,
1300,963,1083.33,120.333,88.89258121,,2.787631906,,,
1128,835,940,105,88.82978723,,2.581890803,,,
1297,959,1080.83,121.833,88.7281071,,2.265465032,,,
1480,1017,1233.33,216.333,82.45968232,,22.68882299,,,
1320,967,1100,133,87.90909091,,0.470774362,,,
1296,911,1080,169,84.35185185,,8.243267281,,,
1317,994,1097.5,103.5,90.56947608,,11.19916373,,,
1319,973,1099.17,126.167,88.52133883,,1.685785193,,,
1179,870,982.5,112.5,88.54961832,,1.760019859,,,
1290,932,1075,143,86.69767442,,0.275925909,,,
1374,1017,1145,128,88.8209607,,2.553603293,,,
1341,1001,1117.5,116.5,89.57494407,,5.531824745,,,
1210,910,1008.33,98.3333,90.24823223,,9.152266472,,,
1363,969,1135.83,166.833,85.31206254,,3.651532601,,,
1230,871,1025,154,84.97560976,,5.050587254,,,
1344,960,1120,160,85.71428571,,2.276100876,,,
1234,919,1028.33,109.333,89.36819892,,4.602046096,,,
1312,934,1093.33,159.333,85.42708972,,3.225153379,,,
1249,890,1040.83,150.833,85.50868057,,2.938757111,,,
1323,967,1102.5,135.5,87.70975057,,0.23696416,,,
1380,992,1150,158,86.26086957,,0.925619775,,,
1088,799,906.667,107.667,88.1249676,,0.813616053,,,
1264,933,1053.33,120.333,88.57622967,,1.831336314,,,
1215,901,1012.5,111.5,88.98765432,,3.114142799,,,
1276,940,1063.33,123.333,88.40153104,,1.389027526,,,
1141,819,950.833,131.833,86.13499952,,1.183660005,,,
1414,1044,1178.33,134.333,88.59996775,,1.896147813,,,
1225,856,1020.83,164.833,83.85333503,,11.35437863,,,
1320,954,1100,146,86.72727273,,0.245706784,,,
1309,930,1090.83,160.833,85.25618107,,3.868222966,,,
1532,1116,1276.67,160.667,87.41491537,,0.036846509,,,
1280,972,1066.67,94.6667,91.12471524,,15.22368674,,,
1281,947,1067.5,120.5,88.71194379,,2.217069999,,,
1447,1014,1205.83,191.833,84.09145568,,9.806325082,,,
1399,1019,1165.83,146.833,87.4055394,,0.033334902,,,
1183,813,985.833,172.833,82.46832881,,22.60652646,,,
1176,872,980,108,88.97959184,,3.085752178,,,
1256,940,1046.67,106.667,89.80863118,,6.685690707,,,
1391,1023,1159.17,136.167,88.25280157,,1.060571772,,,
1278,946,1065,119,88.82629108,,2.570667601,,,
1295,929,1079.17,150.167,86.08467619,,1.295692135,,,
1227,900,1022.5,122.5,88.0195599,,0.634569938,,,
1404,1006,1170,164,85.98290598,,1.537736247,,,
1183,877,985.833,108.833,88.96030058,,3.018349088,,,
1414,1038,1178.33,140.333,88.09077253,,0.753096997,,,
1366,996,1138.33,142.333,87.49659589,,0.074876097,,,
1240,882,1033.33,151.333,85.35511405,,3.488851934,,,
1449,1047,1207.5,160.5,86.70807453,,0.26510799,,,
1281,944,1067.5,123.5,88.43091335,,1.459149071,,,
1402,1007,1168.33,161.333,86.1914014,,1.064115039,,,
1371,980,1142.5,162.5,85.77680525,,2.091366217,,,
1180,813,983.333,170.333,82.67799413,,20.65672314,,,
1246,905,1038.33,133.333,87.15918831,,0.004066946,,,
1203,895,1002.5,107.5,89.27680798,,4.218287746,,,
1120,796,933.333,137.333,85.28574474,,3.752806509,,,
1196,887,996.667,109.667,88.99662575,,3.145886942,,,
1286,921,1071.67,150.667,85.94063471,,1.644360508,,,
1200,904,1000,96,90.4,,10.09357732,,,
1465,1037,1220.83,183.833,84.94221145,,5.201818162,,,
1270,952,1058.33,106.333,89.95303922,,7.453327536,,,
1373,980,1144.17,164.167,85.65160772,,2.469150893,,,
1265,937,1054.17,117.167,88.88509443,,2.76268782,,,
1351,981,1125.83,144.833,87.13571321,,0.007612163,,,
1467,1038,1222.5,184.5,84.90797546,,5.359157679,,,
1329,937,1107.5,170.5,84.60496614,,6.853896668,,,
1318,1007,1098.33,91.3333,91.68464851,,19.90665617,,,
1336,975,1113.33,138.333,87.5751125,,0.124010736,,,
1316,947,1096.67,149.667,86.35232112,,0.758013666,,,
1334,980,1111.67,131.667,88.1556577,,0.869923291,,,
1199,895,999.167,104.167,89.57461565,,5.530279992,,,
1366,992,1138.33,146.333,87.14520394,,0.006046148,,,
1332,954,1110,156,85.94594595,,1.630767244,,,
1250,936,1041.67,105.667,89.85571246,,6.93138068,,,
1308,933,1090,157,85.59633028,,2.645927255,,,
1257,905,1047.5,142.5,86.39618138,,0.683564401,,,
1373,982,1144.17,162.167,85.82640692,,1.950363089,,,
1455,1015,1212.5,197.5,83.71134021,,12.33148004,,,
1201,889,1000.83,111.833,88.82627419,,2.57061345,,,
1278,923,1065,142,86.66666667,,0.309463296,,,
1206,853,1005,152,84.87562189,,5.510000519,,,
1346,1012,1121.67,109.667,90.22261449,,8.997921567,,,
1365,976,1137.5,161.5,85.8021978,,2.018567837,,,
1090,800,908.333,108.333,88.07342682,,0.72329224,,,
1224,894,1020,126,87.64705882,,0.179859032,,,
1206,874,1005,131,86.96517413,,0.066454029,,,
1250,918,1041.67,123.667,88.12771799,,0.818585358,,,
1309,947,1090.83,143.833,86.81462739,,0.166736269,,,
1404,1000,1170,170,85.47008547,,3.072572343,,,
1265,937,1054.17,117.167,88.88509443,,2.76268782,,,
1457,1051,1214.17,163.167,86.56118995,,0.437940818,,,
1370,1036,1141.67,105.667,90.7442606,,12.39955144,,,
1327,990,1105.83,115.833,89.52551477,,5.30175424,,,
1320,977,1100,123,88.81818182,,2.544729714,,,
1403,997,1169.17,172.167,85.27416885,,3.797790513,,,
1282,896,1068.33,172.333,83.86921644,,11.24760203,,,
1418,1027,1181.67,154.667,86.91089729,,0.09738371,,,
1202,877,1001.67,124.667,87.55378518,,0.10944469,,,
1166,772,971.667,199.667,79.45108767,,60.40201386,,,
1182,891,985,94,90.45685279,,10.45805664,,,
1243,869,1035.83,166.833,83.89407528,,11.08147959,,,
1370,1014,1141.67,127.667,88.81725893,,2.541786137,,,
1152,865,960,95,90.10416667,,8.301346555,,,
1317,939,1097.5,158.5,85.55808656,,2.771806633,,,
1160,844,966.667,122.667,87.31031472,,0.007630686,,,
1485,1083,1237.5,154.5,87.51515152,,0.085375344,,,
1386,1033,1155,122,89.43722944,,4.902985066,,,
1213,883,1010.83,127.833,87.35395665,,0.017159881,,,
1231,903,1025.83,122.833,88.02628116,,0.645323404,,,
1288,930,1073.33,143.333,86.64623182,,0.332616454,,,
1256,911,1046.67,135.667,87.03793937,,0.034232974,,,
1267,921,1055.83,134.833,87.22995179,,4.88723E-05,,,
1225,902,1020.83,118.833,88.35947219,,1.291657876,,,
1403,996,1169.17,173.167,85.18863809,,4.138469362,,,
1246,918,1038.33,120.333,88.41119875,,1.411909145,,,
1416,1046,1180,134,88.6440678,,2.019544755,,,
1388,976,1156.67,180.667,84.38016029,,8.081515435,,,
1230,870,1025,155,84.87804878,,5.498612942,,,
1107,832,922.5,90.5,90.1897019,,8.801552025,,,
1371,955,1142.5,187.5,83.58862144,,13.20842343,,,
1199,859,999.167,140.167,85.97161435,,1.565868226,,,
1291,946,1075.83,129.833,87.93210823,,0.502889911,,,
1334,914,1111.67,197.667,82.21864402,,25.04318762,,,
1260,927,1050,123,88.28571429,,1.129444716,,,
1288,953,1073.33,120.333,88.78909562,,2.452777893,,,
1448,1028,1206.67,178.667,85.19313483,,4.120193974,,,
1331,969,1109.17,140.167,87.3626225,,0.019505357,,,
1314,969,1095,126,88.49315068,,1.613382039,,,
1297,948,1080.83,132.833,87.71037073,,0.237568326,,,
1265,898,1054.17,156.167,85.18550139,,4.151241338,,,
1293,955,1077.5,122.5,88.63109049,,1.982828878,,,
1285,934,1070.83,136.833,87.22206139,,8.09151E-07,,,
1281,907,1067.5,160.5,84.96487119,,5.098969209,,,
1239,899,1032.5,133.5,87.07021792,,0.023330425,,,
1146,805,955,150,84.29319372,,8.583535862,,,
1213,873,1010.83,137.833,86.36467062,,0.736662244,,,
1422,1051,1185,134,88.69198312,,2.158026231,,,
1376,999,1146.67,147.667,87.12183976,,0.010225489,,,
1227,890,1022.5,132.5,87.04156479,,0.032904555,,,
1197,876,997.5,121.5,87.81954887,,0.355917185,,,
1411,1015,1175.83,160.833,86.32200233,,0.81172638,,,
1276,896,1063.33,167.333,84.26358703,,8.757893802,,,
1334,987,1111.67,124.667,88.78534097,,2.441031432,,,
1421,1072,1184.17,112.167,90.5275425,,10.92025941,,,
1305,947,1087.5,140.5,87.08045977,,0.020306578,,,
1174,843,978.333,135.333,86.16697995,,1.115095799,,,
1224,895,1020,125,87.74509804,,0.272627171,,,
1268,904,1056.67,152.667,85.55178059,,2.792843683,,,
1267,948,1055.83,107.833,89.78718165,,6.575227945,,,
1429,1035,1190.83,155.833,86.91416911,,0.095352383,,,
1434,1021,1195,174,85.43933054,,3.181337318,,,
1288,956,1073.33,117.333,89.06859959,,3.406382107,,,
1294,955,1078.33,123.333,88.56287036,,1.795357319,,,
1437,1074,1197.5,123.5,89.6868476,,6.070737568,,,
1349,957,1124.17,167.167,85.1294733,,4.382690414,,,
1225,892,1020.83,128.833,87.37987716,,0.024622706,,,
1414,1044,1178.33,134.333,88.59996775,,1.896147813,,,
1255,930,1045.83,115.833,88.92458621,,2.895528641,,,
1373,977,1144.17,167.167,85.38940892,,3.36191295,,,
1271,929,1059.17,130.167,87.71018817,,0.237390389,,,
1286,936,1071.67,135.667,87.34031931,,0.013772993,,,
1276,925,1063.33,138.333,86.99086831,,0.05386698,,,
1244,890,1036.67,146.667,85.85181398,,1.880043927,,,
1378,967,1148.33,181.333,84.20924299,,9.082495776,,,
