m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1317,745,1097.5,352.5,67.88154897,,1.432244586,,,
1331,763,1109.17,346.167,68.79017644,,0.083022788,,,
1361,795,1134.17,339.167,70.09531199,,1.03428656,,,
1262,730,1051.67,321.667,69.41340915,,0.112289302,,,
1313,754,1094.17,340.167,68.91068116,,0.028100499,,,
1230,696,1025,329,67.90243902,,1.382680053,,,
1296,745,1080,335,68.98148148,,0.00937638,,,
1391,785,1159.17,374.167,67.72086924,,1.84265407,,,
1312,763,1093.33,330.333,69.78679813,,0.501950911,,,
1358,779,1131.67,352.667,68.83632154,,0.058559957,,,
1297,735,1080.83,345.833,68.00329376,,1.155666764,,,
1300,753,1083.33,330.333,69.50790618,,0.184550135,,,
1257,716,1047.5,331.5,68.35322196,,0.525757296,,,
1289,755,1074.17,319.167,70.28682611,,1.460503472,,,
1255,720,1045.83,325.833,68.84484094,,0.054509292,,,
1325,784,1104.17,320.167,71.00355923,,3.706572332,,,
1262,723,1051.67,328.667,68.74780112,,0.109238231,,,
1292,766,1076.67,310.667,71.14529057,,4.272395497,,,
1343,781,1119.17,338.167,69.78385768,,0.497793028,,,
1290,747,1075,328,69.48837209,,0.168148304,,,
1278,727,1065,338,68.2629108,,0.664881061,,,
1210,719,1008.33,289.333,71.30602085,,4.962681402,,,
1306,748,1088.33,340.333,68.72915384,,0.121912251,,,
1407,820,1172.5,352.5,69.93603412,,0.735685185,,,
1338,769,1115,346,68.96860987,,0.012034819,,,
1245,733,1037.5,304.5,70.65060241,,2.47209339,,,
1365,787,1137.5,350.5,69.18681319,,0.011772249,,,
1357,775,1130.83,355.833,68.53373186,,0.296568824,,,
1338,802,1115,313,71.92825112,,8.122146211,,,
1298,764,1081.67,317.667,70.63152348,,2.412462197,,,
1343,764,1119.17,355.167,68.26487486,,0.661681912,,,
1307,755,1089.17,334.167,69.31883912,,0.057852721,,,
1304,739,1086.67,347.667,68.00592636,,1.150013508,,,
1274,697,1061.67,364.667,65.65128524,,11.74452057,,,
1263,712,1052.5,340.5,67.64845606,,2.044491421,,,
1275,768,1062.5,294.5,72.28235294,,10.26587073,,,
1359,787,1132.5,345.5,69.49227373,,0.171363329,,,
1319,756,1099.17,343.167,68.77916974,,0.089486805,,,
