m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1228,883,1023.33,140.333,86.28692602,,1.361343935,,,
1483,1120,1235.83,115.833,90.62735166,,10.07211271,,,
1326,959,1105,146,86.78733032,,0.444038506,,,
1382,1054,1151.67,97.6667,91.51927201,,16.52893711,,,
1484,1086,1236.67,150.667,87.81647489,,0.13161109,,,
1229,930,1024.17,94.1667,90.80523741,,11.23285356,,,
1590,1106,1325,219,83.47169811,,15.85627898,,,
1302,961,1085,124,88.57142857,,1.249334015,,,
1217,842,1014.17,172.167,83.02355621,,19.62610721,,,
1332,986,1110,124,88.82882883,,1.891000033,,,
1692,1263,1410,147,89.57446809,,4.497689252,,,
1330,937,1108.33,171.333,84.54160764,,8.480237976,,,
1346,978,1121.67,143.667,87.19141994,,0.068786877,,,
1221,928,1017.5,89.5,91.2039312,,14.06429064,,,
1387,1026,1155.83,129.833,88.76737929,,1.725773076,,,
1297,935,1080.83,145.833,86.50759139,,0.895107238,,,
1694,1221,1411.67,190.667,86.49330226,,0.922349338,,,
1360,994,1133.33,139.333,87.70614031,,0.063729918,,,
1423,1068,1185.83,117.833,90.06349983,,6.811094494,,,
1221,868,1017.5,149.5,85.30712531,,4.607750542,,,
1181,860,984.167,124.167,87.38354365,,0.004920856,,,
1297,972,1080.83,108.833,89.93088645,,6.136490056,,,
1287,866,1072.5,206.5,80.74592075,,44.99420137,,,
1322,927,1101.67,174.667,84.14497989,,10.94757884,,,
1314,938,1095,157,85.66210046,,3.209801907,,,
1333,994,1110.83,116.833,89.48263911,,4.116624499,,,
1333,949,1110.83,161.833,85.4316142,,4.088800496,,,
1446,1047,1205,158,86.8879668,,0.320045517,,,
1265,917,1054.17,137.167,86.98786723,,0.216993143,,,
1331,969,1109.17,140.167,87.3626225,,0.008293737,,,
1170,854,975,121,87.58974359,,0.01850991,,,
1267,913,1055.83,142.833,86.47225406,,0.963221341,,,
1220,904,1016.67,112.667,88.91774125,,2.143438869,,,
