m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1189,843,990.833,147.833,85.0799277,,2.928201221,,,
1166,818,971.667,153.667,84.18521983,,0.666657396,,,
1231,879,1025.83,146.833,85.68671222,,5.373046548,,,
1185,790,987.5,197.5,80,,11.3483346,,,
1327,903,1105.83,202.833,81.65812105,,2.926179321,,,
1172,819,976.667,157.667,83.85662667,,0.238044205,,,
1140,808,950,142,85.05263158,,2.835528131,,,
1139,776,949.167,173.167,81.75589754,,2.601225094,,,
1281,887,1067.5,180.5,83.09133489,,0.076947451,,,
1233,830,1027.5,197.5,80.77858881,,6.708825853,,,
1252,910,1043.33,133.333,87.22072594,,14.837881,,,
1286,889,1071.67,182.667,82.95464089,,0.171468907,,,
1287,886,1072.5,186.5,82.61072261,,0.57457358,,,
1131,780,942.5,162.5,82.75862069,,0.372232065,,,
1246,876,1038.33,162.333,84.36624195,,0.995032217,,,
1186,834,988.333,154.333,84.38451413,,1.031819565,,,
1044,694,870,176,79.77011494,,12.95002263,,,
1232,855,1026.67,171.667,83.27895039,,0.008060186,,,
1256,880,1046.67,166.667,84.07616536,,0.500466306,,,
1079,756,899.167,143.167,84.07781869,,0.502808291,,,
1177,814,980.833,166.833,82.99068241,,0.142919171,,,
1303,893,1085.83,192.833,82.24123482,,1.271242978,,,
1099,742,915.833,173.833,81.01913777,,5.520578626,,,
1151,798,959.167,161.167,83.1971909,,0.029425297,,,
1141,808,950.833,142.833,84.97811919,,2.590136996,,,
1324,930,1103.33,173.333,84.29028486,,0.849265341,,,
1157,810,964.167,154.167,84.01034261,,0.41166811,,,
1067,764,889.167,125.167,85.9231168,,6.524897415,,,
1184,826,986.667,160.667,83.71618793,,0.120727759,,,
1160,821,966.667,145.667,84.9310052,,2.440707132,,,
1240,871,1033.33,162.333,84.29059449,,0.849836103,,,
1191,839,992.5,153.5,84.53400504,,1.357868407,,,
1140,794,950,156,83.57894737,,0.044191792,,,
1190,825,991.667,166.667,83.19324935,,0.030793084,,,
1189,836,990.833,154.833,84.37345143,,1.009467301,,,
1321,922,1100.83,178.833,83.75498488,,0.149193655,,,
1215,867,1012.5,145.5,85.62962963,,5.111671974,,,
1334,940,1111.67,171.667,84.55746759,,1.413099611,,,
1196,842,996.667,154.667,84.4815771,,1.238431042,,,
1222,876,1018.33,142.333,86.02319484,,7.04618926,,,
1318,916,1098.33,182.333,83.39934264,,0.000937199,,,
1230,860,1025,165,83.90243902,,0.284846465,,,
1274,883,1061.67,178.667,83.17085347,,0.039154699,,,
1319,913,1099.17,186.167,83.06267456,,0.093669275,,,
1271,872,1059.17,187.167,82.3286158,,1.081835317,,,
1187,841,989.167,148.167,85.02103285,,2.73010824,,,
