m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1272,985,1060,75,92.9245283,,0.281265817,,,
1188,925,990,65,93.43434343,,0.000421475,,,
1233,945,1027.5,82.5,91.97080292,,2.202464894,,,
1233,965,1027.5,62.5,93.91727494,,0.213815276,,,
1224,925,1020,95,90.68627451,,7.665139261,,,
1194,919,995,76,92.36180905,,1.194789465,,,
1209,955,1007.5,52.5,94.78908189,,1.780112551,,,
1161,901,967.5,66.5,93.12661499,,0.10775352,,,
1074,837,895,58,93.51955307,,0.004183473,,,
1263,993,1052.5,59.5,94.34679335,,0.795521374,,,
1281,1011,1067.5,56.5,94.70725995,,1.568472329,,,
1185,932,987.5,55.5,94.37974684,,0.855391057,,,
1248,964,1040,76,92.69230769,,0.581506306,,,
1278,994,1065,71,93.33333333,,0.014771963,,,
1278,991,1065,74,93.05164319,,0.16259452,,,
1158,885,965,80,91.70984456,,3.045125305,,,
1269,995,1057.5,62.5,94.08983452,,0.403175745,,,
1317,1030,1097.5,67.5,93.84965831,,0.155855208,,,
1329,1044,1107.5,63.5,94.26636569,,0.658519897,,,
1236,973,1030,57,94.46601942,,1.022416471,,,
1257,999,1047.5,48.5,95.3699284,,3.66743604,,,
1260,986,1050,64,93.9047619,,0.202399757,,,
1233,973,1027.5,54.5,94.69586375,,1.540057289,,,
1242,971,1035,64,93.81642512,,0.130719719,,,
1170,913,975,62,93.64102564,,0.034652694,,,
1284,982,1070,88,91.77570093,,2.819619833,,,
1299,1018,1082.5,64.5,94.04157044,,0.344213533,,,
1251,959,1042.5,83.5,91.99040767,,2.14465957,,,
1296,1012,1080,68,93.7037037,,0.06191657,,,
1275,968,1062.5,94.5,91.10588235,,5.517758469,,,
1119,876,932.5,56.5,93.94101877,,0.236337415,,,
1203,925,1002.5,77.5,92.26932668,,1.40552078,,,
1215,949,1012.5,63.5,93.72839506,,0.074814154,,,
1236,938,1030,92,91.06796117,,5.69734954,,,
1233,966,1027.5,61.5,94.01459854,,0.313292344,,,
1215,946,1012.5,66.5,93.43209877,,0.000518679,,,
1251,977,1042.5,65.5,93.71702638,,0.068724237,,,
1233,963,1027.5,64.5,93.72262774,,0.071692439,,,
1251,954,1042.5,88.5,91.51079137,,3.779454563,,,
1266,998,1055,57,94.5971564,,1.304810676,,,
1284,1000,1070,70,93.45794393,,9.42874E-06,,,
1209,948,1007.5,59.5,94.0942928,,0.408857302,,,
1221,935,1017.5,82.5,91.89189189,,2.442910882,,,
1224,945,1020,75,92.64705882,,0.652564228,,,
1227,959,1022.5,63.5,93.78973105,,0.112129714,,,
