m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1137,884,947.5,63.5,93.29815303,,0.026873789,,,
1128,881,940,59,93.72340426,,0.068287594,,,
1179,919,982.5,63.5,93.53689567,,0.005596591,,,
1125,882,937.5,55.5,94.08,,0.38181857,,,
1071,823,892.5,69.5,92.21288515,,1.560501018,,,
1155,912,962.5,50.5,94.75324675,,1.667097885,,,
1227,958,1022.5,64.5,93.69193154,,0.052829292,,,
1158,915,965,50,94.81865285,,1.840275503,,,
1125,872,937.5,65.5,93.01333333,,0.201378332,,,
1254,978,1045,67,93.58851675,,0.015984909,,,
1101,856,917.5,61.5,93.29700272,,0.027252258,,,
1107,838,922.5,84.5,90.8401084,,6.874762886,,,
1140,891,950,59,93.78947368,,0.107183151,,,
1098,852,915,63,93.1147541,,0.120638967,,,
1146,901,955,54,94.34554974,,0.780509404,,,
1035,805,862.5,57.5,93.33333333,,0.01657707,,,
1158,911,965,54,94.40414508,,0.887476615,,,
1167,923,972.5,49.5,94.91002571,,2.096531407,,,
1155,900,962.5,62.5,93.50649351,,0.001972088,,,
1203,944,1002.5,58.5,94.16458853,,0.493510779,,,
1203,939,1002.5,63.5,93.66583541,,0.041514106,,,
1149,901,957.5,56.5,94.09921671,,0.405936427,,,
1212,940,1010,70,93.06930693,,0.154274851,,,
1131,891,942.5,51.5,94.53580902,,1.152882613,,,
1182,937,985,48,95.12690355,,2.771619799,,,
1170,923,975,52,94.66666667,,1.451016256,,,
1197,934,997.5,63.5,93.63408521,,0.029583968,,,
1122,874,935,61,93.47593583,,0.000191837,,,
1236,950,1030,80,92.23300971,,1.510626822,,,
1044,797,870,73,91.6091954,,3.433200992,,,
1200,930,1000,70,93,,0.213522829,,,
1188,928,990,62,93.73737374,,0.075783721,,,
1212,940,1010,70,93.06930693,,0.154274851,,,
1221,957,1017.5,60.5,94.05405405,,0.350427,,,
1311,1011,1092.5,81.5,92.54004577,,0.850156911,,,
1158,896,965,69,92.84974093,,0.374965631,,,
1164,912,970,58,94.02061856,,0.311959393,,,
1143,902,952.5,50.5,94.69816273,,1.527887399,,,
1182,927,985,58,94.11167513,,0.421966936,,,
1092,865,910,45,95.05494505,,2.537202182,,,
1080,843,900,57,93.66666667,,0.041853533,,,
1128,873,940,67,92.87234043,,0.347799023,,,
1224,951,1020,69,93.23529412,,0.051434243,,,
1137,887,947.5,60.5,93.61477573,,0.023314364,,,
1167,919,972.5,53.5,94.49871465,,1.074600405,,,
1074,848,895,47,94.74860335,,1.655128685,,,
1155,899,962.5,63.5,93.4025974,,0.003538811,,,
1146,907,955,48,94.97382199,,2.285347803,,,
1194,931,995,64,93.5678392,,0.011183885,,,
1146,892,955,63,93.40314136,,0.003474389,,,
1230,964,1025,61,94.04878049,,0.344211237,,,
1116,871,930,59,93.65591398,,0.037569555,,,
1200,940,1000,60,94,,0.289352219,,,
1152,912,960,48,95,,2.365181608,,,
1101,873,917.5,44.5,95.14986376,,2.848596113,,,
1176,923,980,57,94.18367347,,0.520689479,,,
1212,945,1010,65,93.56435644,,0.010459384,,,
1176,924,980,56,94.28571429,,0.678364698,,,
1140,886,950,64,93.26315789,,0.039572115,,,
1203,938,1002.5,64.5,93.56608479,,0.010815892,,,
1131,872,942.5,70.5,92.5198939,,0.887724646,,,
1362,1052,1135,83,92.68722467,,0.600409005,,,
1230,960,1025,65,93.65853659,,0.038593105,,,
1170,918,975,57,94.15384615,,0.478533072,,,
1152,892,960,68,92.91666667,,0.297481491,,,
1281,991,1067.5,76.5,92.83372365,,0.394838365,,,
