m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1338,1043,1115,72,93.5426009,,0.00648276,,,
1143,886,952.5,66.5,93.0183727,,0.196880873,,,
1257,975,1047.5,72.5,93.07875895,,0.146939095,,,
1239,970,1032.5,62.5,93.94673123,,0.234881677,,,
1167,909,972.5,63.5,93.47043702,,6.97511E-05,,,
1104,867,920,53,94.23913043,,0.603799133,,,
1080,833,900,67,92.55555556,,0.821796187,,,
1179,917,982.5,65.5,93.33333333,,0.01657707,,,
1260,972,1050,78,92.57142857,,0.793269417,,,
1179,924,982.5,58.5,94.04580153,,0.340724627,,,
1104,869,920,51,94.45652174,,0.988903821,,,
1146,892,955,63,93.40314136,,0.003474389,,,
1092,845,910,65,92.85714286,,0.365955365,,,
1125,874,937.5,63.5,93.22666667,,0.055421935,,,
1182,925,985,60,93.90862944,,0.199401666,,,
1251,971,1042.5,71.5,93.14148681,,0.102783395,,,
1020,788,850,62,92.70588235,,0.571842905,,,
1062,812,885,73,91.75141243,,2.926401688,,,
1125,881,937.5,56.5,93.97333333,,0.261374546,,,
1209,936,1007.5,71.5,92.90322581,,0.312323939,,,
1116,871,930,59,93.65591398,,0.037569555,,,
1188,921,990,69,93.03030303,,0.186435933,,,
1065,827,887.5,60.5,93.18309859,,0.077833586,,,
1074,827,895,68,92.40223464,,1.123283439,,,
1173,908,977.5,69.5,92.89002558,,0.327252334,,,
1212,961,1010,49,95.14851485,,2.844044615,,,
1164,904,970,66,93.19587629,,0.07086724,,,
1230,951,1025,74,92.7804878,,0.464575152,,,
1143,891,952.5,61.5,93.54330709,,0.006596978,,,
1206,945,1005,60,94.02985075,,0.322357596,,,
1155,901,962.5,61.5,93.61038961,,0.021994167,,,
1194,923,995,72,92.7638191,,0.4875757,,,
1083,839,902.5,63.5,92.96398892,,0.248100009,,,
1131,886,942.5,56.5,94.00530504,,0.29508768,,,
1089,848,907.5,59.5,93.44352617,,0.000344441,,,
1068,836,890,54,93.93258427,,0.221369276,,,
1119,887,932.5,45.5,95.12064343,,2.750815059,,,
1158,908,965,57,94.09326425,,0.398386859,,,
1095,868,912.5,44.5,95.12328767,,2.759593301,,,
1116,869,930,61,93.44086022,,0.000450504,,,
1134,887,945,58,93.86243386,,0.160278967,,,
1089,846,907.5,61.5,93.2231405,,0.057094622,,,
1134,868,945,77,91.85185185,,2.592851774,,,
1161,882,967.5,85.5,91.1627907,,5.286755692,,,
1104,857,920,63,93.15217391,,0.096045071,,,
1155,891,962.5,71.5,92.57142857,,0.793269417,,,
1128,888,940,52,94.46808511,,1.0120356,,,
1275,1003,1062.5,59.5,94.4,,0.879683975,,,
1176,911,980,69,92.95918367,,0.252910051,,,
1101,851,917.5,66.5,92.7520436,,0.504159228,,,
1008,781,840,59,92.97619048,,0.236093785,,,
1230,970,1025,55,94.63414634,,1.373727073,,,
1104,866,920,54,94.13043478,,0.446691024,,,
1110,876,925,49,94.7027027,,1.539131527,,,
1089,859,907.5,48.5,94.65564738,,1.424590433,,,
1242,943,1035,92,91.11111111,,5.527079661,,,
1032,807,860,53,93.8372093,,0.140718013,,,
1098,857,915,58,93.66120219,,0.039647532,,,
1155,909,962.5,53.5,94.44155844,,0.959367625,,,
1140,880,950,70,92.63157895,,0.68974081,,,
1146,890,955,65,93.19371728,,0.072021398,,,
1152,899,960,61,93.64583333,,0.033763338,,,
1278,997,1065,68,93.61502347,,0.023390084,,,
1167,906,972.5,66.5,93.16195373,,0.090078964,,,
1254,982,1045,63,93.97129187,,0.259291322,,,
1152,911,960,49,94.89583333,,2.055633408,,,
1113,874,927.5,53.5,94.23180593,,0.59246984,,,
1113,878,927.5,49.5,94.66307278,,1.442370906,,,
1176,925,980,55,94.3877551,,0.856864573,,,
1272,992,1060,68,93.58490566,,0.01508484,,,
1158,905,965,60,93.78238342,,0.102590882,,,
1098,862,915,53,94.20765027,,0.555867122,,,
1155,888,962.5,74.5,92.25974026,,1.445633608,,,
1296,1019,1080,61,94.35185185,,0.791684508,,,
1086,824,905,81,91.04972376,,5.81948824,,,
1083,826,902.5,76.5,91.52354571,,3.757935776,,,
1023,796,852.5,56.5,93.37243402,,0.008037353,,,
1209,946,1007.5,61.5,93.89578164,,0.188092509,,,
1107,877,922.5,45.5,95.06775068,,2.578161288,,,
1227,947,1022.5,75.5,92.61613692,,0.715628672,,,
1128,880,940,60,93.61702128,,0.024005155,,,
1146,893,955,62,93.5078534,,0.002094719,,,
1125,867,937.5,70.5,92.48,,0.964491547,,,
1158,912,965,53,94.50777202,,1.093460707,,,
1173,904,977.5,73.5,92.48081841,,0.962884711,,,
1200,932,1000,68,93.2,,0.068688707,,,
1146,910,955,45,95.28795812,,3.333811518,,,
1173,910,977.5,67.5,93.09462916,,0.135024022,,,
1167,916,972.5,56.5,94.19023136,,0.530196681,,,
1176,918,980,62,93.67346939,,0.04468323,,,
1131,877,942.5,65.5,93.05039788,,0.169486538,,,
1209,949,1007.5,58.5,94.19354839,,0.53503824,,,
1179,922,982.5,60.5,93.84223919,,0.144516973,,,
1119,878,932.5,54.5,94.15549598,,0.480818362,,,
1074,841,895,54,93.96648045,,0.254414459,,,
1182,929,985,56,94.31472081,,0.726987308,,,
1140,877,950,73,92.31578947,,1.313994133,,,
1146,880,955,75,92.14659686,,1.730509853,,,
1176,907,980,73,92.55102041,,0.830039247,,,
1131,888,942.5,54.5,94.21750663,,0.57066138,,,
1182,922,985,63,93.60406091,,0.020157073,,,
1263,985,1052.5,67.5,93.58669834,,0.015528408,,,
1164,898,970,72,92.57731959,,0.782810375,,,
1236,977,1030,53,94.85436893,,1.938453698,,,
1137,879,947.5,68.5,92.77044855,,0.478361403,,,
1224,967,1020,53,94.80392157,,1.800524558,,,
1176,922,980,58,94.08163265,,0.383838916,,,
1197,936,997.5,61.5,93.83458647,,0.138757115,,,
1182,918,985,67,93.19796954,,0.069757136,,,
1077,818,897.5,79.5,91.14206128,,5.382511471,,,
1140,870,950,80,91.57894737,,3.546208489,,,
1056,826,880,54,93.86363636,,0.161243253,,,
1065,817,887.5,70.5,92.05633803,,1.976125407,,,
1275,985,1062.5,77.5,92.70588235,,0.571842905,,,
1074,845,895,50,94.41340782,,0.905014529,,,
1055,832,879.167,47.1667,94.63503521,,1.375811478,,,
1095,860,912.5,52.5,94.24657534,,0.615424619,,,
1212,939,1010,71,92.97029703,,0.241855708,,,
1215,947,1012.5,65.5,93.5308642,,0.004730536,,,
1149,927,957.5,30.5,96.81462141,,11.23949833,,,
1203,921,1002.5,81.5,91.87032419,,2.533703449,,,
1227,950,1022.5,72.5,92.90953545,,0.30531134,,,
1215,932,1012.5,80.5,92.04938272,,1.995728605,,,
1170,909,975,66,93.23076923,,0.053507126,,,
1272,986,1060,74,93.01886792,,0.196441647,,,
1062,832,885,53,94.01129944,,0.30163616,,,
1110,854,925,71,92.32432432,,1.29450005,,,
1140,897,950,53,94.42105263,,0.919618333,,,
1176,917,980,63,93.57142857,,0.01195595,,,
1203,935,1002.5,67.5,93.26683292,,0.038123495,,,
1245,971,1037.5,66.5,93.59036145,,0.016454768,,,
1224,951,1020,69,93.23529412,,0.051434243,,,
1077,827,897.5,70.5,92.1448468,,1.735117288,,,
1128,878,940,62,93.40425532,,0.003344307,,,
1155,866,962.5,96.5,89.97402597,,12.1665579,,,
1263,988,1052.5,64.5,93.87173397,,0.167812026,,,
1179,910,982.5,72.5,92.62086514,,0.707651366,,,
1104,850,920,70,92.39130435,,1.146571859,,,
1194,923,995,72,92.7638191,,0.4875757,,,
1065,839,887.5,48.5,94.53521127,,1.151599331,,,
1089,852,907.5,55.5,93.88429752,,0.178263155,,,
1116,880,930,50,94.62365591,,1.349246279,,,
1116,879,930,51,94.51612903,,1.111008179,,,
1146,879,955,76,92.04188482,,2.016969427,,,
1188,924,990,66,93.33333333,,0.01657707,,,
1140,884,950,66,93.05263158,,0.167652354,,,
1092,830,910,80,91.20879121,,5.077334285,,,
1149,900,957.5,57.5,93.99477807,,0.283761579,,,
1113,835,927.5,92.5,90.02695418,,11.80012586,,,
1116,881,930,49,94.7311828,,1.61060844,,,
1218,938,1015,77,92.4137931,,1.09891654,,,
1149,902,957.5,55.5,94.20365535,,0.549926135,,,
1353,1054,1127.5,73.5,93.48115299,,0.000363577,,,
1116,867,930,63,93.22580645,,0.055827697,,,
1155,902,962.5,60.5,93.71428571,,0.063605046,,,
1164,894,970,76,92.16494845,,1.682564012,,,
1125,879,937.5,58.5,93.76,,0.088753165,,,
1107,860,922.5,62.5,93.22493225,,0.056241572,,,
1122,873,935,62,93.36898396,,0.008667861,,,
1197,933,997.5,64.5,93.53383459,,0.005147959,,,
1047,820,872.5,52.5,93.98280802,,0.271152149,,,
1221,949,1017.5,68.5,93.26781327,,0.037741625,,,
1155,885,962.5,77.5,91.94805195,,2.292297007,,,
1134,896,945,49,94.81481481,,1.829877126,,,
1239,964,1032.5,68.5,93.36561743,,0.00930605,,,
1104,866,920,54,94.13043478,,0.446691024,,,
1149,893,957.5,64.5,93.26370757,,0.039353725,,,
1200,929,1000,71,92.9,,0.31593989,,,
1158,918,965,47,95.12953368,,2.780384078,,,
1230,956,1025,69,93.26829268,,0.03755558,,,
1251,971,1042.5,71.5,93.14148681,,0.102783395,,,
1215,961,1012.5,51.5,94.91358025,,2.106837566,,,
1206,948,1005,57,94.32835821,,0.750428744,,,
1101,850,917.5,67.5,92.64305177,,0.67081593,,,
1227,965,1022.5,57.5,94.37652812,,0.836205657,,,
1164,903,970,67,93.09278351,,0.13638382,,,
1098,860,915,55,93.98907104,,0.277713963,,,
1161,901,967.5,66.5,93.12661499,,0.112540334,,,
1155,899,962.5,63.5,93.4025974,,0.003538811,,,
1176,907,980,73,92.55102041,,0.830039247,,,
1065,827,887.5,60.5,93.18309859,,0.077833586,,,
1104,859,920,61,93.36956522,,0.008559967,,,
1167,900,972.5,72.5,92.54498715,,0.841069033,,,
1152,893,960,67,93.02083333,,0.194703303,,,
1140,880,950,70,92.63157895,,0.68974081,,,
1155,902,962.5,60.5,93.71428571,,0.063605046,,,
1155,898,962.5,64.5,93.2987013,,0.026694334,,,
1080,826,900,74,91.77777778,,2.836891847,,,
1185,933,987.5,54.5,94.48101266,,1.038212951,,,
1107,844,922.5,78.5,91.49051491,,3.887089842,,,
1236,971,1030,59,94.27184466,,0.655710213,,,
1086,855,905,50,94.47513812,,1.026276009,,,
1275,986,1062.5,76.5,92.8,,0.438356951,,,
1176,924,980,56,94.28571429,,0.678364698,,,
1191,922,992.5,70.5,92.89672544,,0.319631776,,,
1266,994,1055,61,94.21800948,,0.571421356,,,
1161,893,967.5,74.5,92.2997416,,1.351042884,,,
1134,887,945,58,93.86243386,,0.160278967,,,
1158,903,965,62,93.57512953,,0.012778998,,,
1209,936,1007.5,71.5,92.90322581,,0.312323939,,,
1155,900,962.5,62.5,93.50649351,,0.001972088,,,
1209,954,1007.5,53.5,94.6898263,,1.507347957,,,
1107,870,922.5,52.5,94.30894309,,0.717168107,,,
1281,1012,1067.5,55.5,94.80093677,,1.79252324,,,
1167,906,972.5,66.5,93.16195373,,0.090078964,,,
1038,800,865,65,92.48554913,,0.953622896,,,
1116,872,930,58,93.76344086,,0.090815171,,,
1149,880,957.5,77.5,91.90600522,,2.421385226,,,
1140,874,950,76,92,,2.13769344,,,
1203,946,1002.5,56.5,94.36408978,,0.813612065,,,
1107,853,922.5,69.5,92.46612466,,0.991937604,,,
1203,949,1002.5,53.5,94.66334165,,1.443016796,,,
1056,829,880,51,94.20454545,,0.551247073,,,
1050,819,875,56,93.6,,0.019020463,,,
1127,888,939.167,51.1667,94.55187416,,1.18763975,,,
1104,857,920,63,93.15217391,,0.096045071,,,
1143,905,952.5,47.5,95.01312336,,2.405719046,,,
1161,911,967.5,56.5,94.16020672,,0.487373507,,,
1209,947,1007.5,60.5,93.99503722,,0.284037744,,,
1113,861,927.5,66.5,92.83018868,,0.399293346,,,
1089,847,907.5,60.5,93.33333333,,0.01657707,,,
1101,856,917.5,61.5,93.29700272,,0.027252258,,,
,,,,93462.08531,,885.8845901,,,
