m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1328,771,1106.67,335.667,69.66846485,,0.268821546,,,
1304,753,1086.67,333.667,69.29426597,,0.02081705,,,
1296,748,1080,332,69.25925926,,0.011940903,,,
1323,750,1102.5,352.5,68.02721088,,1.260621311,,,
1344,783,1120,337,69.91071429,,0.57870932,,,
1353,783,1127.5,344.5,69.44567627,,0.087433437,,,
1365,788,1137.5,349.5,69.27472527,,0.015560181,,,
1358,771,1131.67,360.667,68.12940168,,1.041589944,,,
1365,785,1137.5,352.5,69.01098901,,0.019319835,,,
1341,784,1117.5,333.5,70.15659955,,1.01327322,,,
1386,798,1155,357,69.09090909,,0.003489942,,,
1352,764,1126.67,362.667,67.81045026,,1.794352824,,,
1412,801,1176.67,375.667,68.07346155,,1.158902355,,,
1287,749,1072.5,323.5,69.83682984,,0.471756077,,,
1435,823,1195.83,372.833,68.82249149,,0.10725188,,,
1426,828,1188.33,360.333,69.6776148,,0.2783934,,,
1357,802,1130.83,328.833,70.92135865,,3.137765239,,,
1352,767,1126.67,359.667,68.07672167,,1.151893797,,,
1412,805,1176.67,371.667,68.41340393,,0.54255141,,,
1319,750,1099.17,349.167,68.23330331,,0.84030499,,,
1369,797,1140.83,343.833,69.86141669,,0.506135303,,,
1311,744,1092.5,348.5,68.1006865,,1.101026967,,,
1378,793,1148.33,355.333,69.05680423,,0.008682623,,,
1363,786,1135.83,349.833,69.20049655,,0.002551435,,,
1279,743,1065.83,322.833,69.71092951,,0.314658946,,,
1361,784,1134.17,350.167,69.12543975,,0.000602461,,,
1312,780,1093.33,313.333,71.34168092,,4.803531794,,,
1350,779,1125,346,69.24444444,,0.008922621,,,
1318,758,1098.33,340.333,69.01386651,,0.018528195,,,
1356,786,1130,344,69.55752212,,0.166086654,,,
1400,793,1166.67,373.667,67.97123437,,1.389452628,,,
1305,749,1087.5,338.5,68.87356322,,0.076408902,,,
1340,768,1116.67,348.667,68.7759141,,0.139928902,,,
1352,790,1126.67,336.667,70.11813575,,0.937316214,,,
1341,795,1117.5,322.5,71.1409396,,3.963900925,,,
1319,759,1099.17,340.167,69.05210295,,0.00958086,,,
1370,789,1141.67,352.667,69.10928727,,0.00165629,,,
1410,799,1175,376,68,,1.322465086,,,
1376,796,1146.67,350.667,69.41840285,,0.072048241,,,
1282,737,1068.33,331.333,68.98617468,,0.026833761,,,
1344,756,1120,364,67.5,,2.722449906,,,
