m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1327,769,1105.83,336.833,69.54052612,69.14998482,0.152522508,1.019616164,0.063196465,69.14998482Å}0.063196465
1300,747,1083.33,336.333,68.95405832,,0.038387193,,,
1278,737,1065,328,69.20187793,,0.002692895,,,69.08678835
1304,754,1086.67,332.667,69.38629023,,0.055840245,,,to
1342,778,1118.33,340.333,69.5680166,,0.174750566,,,69.21318128
1389,786,1157.5,371.5,67.9049676,,1.550067872,,,
1338,780,1115,335,69.95515695,,0.64830216,,,
1378,819,1148.33,329.333,71.32096174,,4.713140806,,,
1342,754,1118.33,364.333,67.42195953,,2.986071407,,,
1405,816,1170.83,354.833,69.6941486,,0.296114215,,,
1400,814,1166.67,352.667,69.77122923,,0.385944611,,,
1404,817,1170,353,69.82905983,,0.461142868,,,
1268,722,1056.67,334.667,68.32786016,,0.675888949,,,
1310,765,1091.67,326.667,70.0761219,,0.8577299,,,
1300,769,1083.33,314.333,70.9848338,,3.366670778,,,
1239,706,1032.5,326.5,68.37772397,,0.596386819,,,
1347,777,1122.5,345.5,69.22048998,,0.004970977,,,
1343,781,1119.17,338.167,69.78385768,,0.401794803,,,
1463,832,1219.17,387.167,68.24314903,,0.822351154,,,
1429,816,1190.83,374.833,68.52363478,,0.392314378,,,
1297,749,1080.83,331.833,69.2985946,,0.022084866,,,
1285,739,1070.83,331.833,69.01188797,,0.019070739,,,
1258,732,1048.33,316.333,69.82534126,,0.456106317,,,
1418,802,1181.67,379.667,67.87004832,,1.63823744,,,
1328,753,1106.67,353.667,68.04196373,,1.227710738,,,
1306,756,1088.33,332.333,69.46422501,,0.098746894,,,
1285,752,1070.83,318.833,70.22589954,,1.157592476,,,
1333,759,1110.83,351.833,68.3272868,,0.676832026,,,
1355,771,1129.17,358.167,68.28024124,,0.756453896,,,
1370,797,1141.67,344.667,69.81001515,,0.435640041,,,
1367,784,1139.17,355.167,68.8220371,,0.107549709,,,
1345,773,1120.83,347.833,68.96674786,,0.033575785,,,
1368,795,1140,345,69.73684211,,0.344401473,,,
1331,750,1109.17,359.167,67.61812887,,2.346582648,,,
1323,761,1102.5,341.5,69.02494331,,0.015635379,,,
1334,758,1111.67,353.667,68.18570259,,0.929840216,,,
1333,755,1110.83,355.833,67.9671957,,1.398990101,,,
1407,817,1172.5,355.5,69.68017058,,0.281096936,,,
1387,815,1155.83,340.833,70.51209953,,1.855356484,,,
1272,762,1060,298,71.88679245,,7.490116019,,,
1176,667,980,313,68.06122449,,1.185399057,,,
1294,740,1078.33,338.333,68.62463253,,0.275995025,,,
1378,794,1148.33,354.333,69.14388721,,3.71808E-05,,,
1312,778,1093.33,315.333,71.15875353,,4.035151741,,,
1371,816,1142.5,326.5,71.42231947,,5.163504784,,,
1405,810,1170.83,360.833,69.18169162,,0.001005321,,,
1333,756,1110.83,354.833,68.05721848,,1.194138282,,,
1358,772,1131.67,359.667,68.21776666,,0.869030691,,,
1349,782,1124.17,342.167,69.56243273,,0.170113277,,,
1296,726,1080,354,67.22222222,,3.716268633,,,
1353,778,1127.5,349.5,69.00221729,,0.021835241,,,
1328,758,1106.67,348.667,68.4937696,,0.430618419,,,
1258,718,1048.33,330.333,68.48988391,,0.435733211,,,
1371,769,1142.5,373.5,67.30853392,,3.390941429,,,
1345,792,1120.83,328.833,70.66192018,,2.285948545,,,
1351,773,1125.83,352.833,68.66045495,,0.23963949,,,
1351,776,1125.83,349.833,68.92692502,,0.049755673,,,
1368,784,1140,356,68.77192982,,0.14292558,,,
1340,762,1116.67,354.667,68.23860227,,0.830618147,,,
1295,750,1079.17,329.167,69.49785483,,0.121013546,,,
1360,787,1133.33,346.333,69.44138071,,0.084911565,,,
1351,783,1125.83,342.833,69.54868852,,0.158964643,,,
1309,749,1090.83,341.833,68.66331142,,0.236850995,,,
1293,753,1077.5,324.5,69.88399072,,0.53876466,,,
1292,749,1076.67,327.667,69.56634809,,0.173358374,,,
1370,776,1141.67,365.667,67.97060447,,1.390938021,,,
1358,805,1131.67,326.667,71.13381109,,3.935566683,,,
1370,779,1141.67,362.667,68.23337742,,0.840169124,,,
1336,756,1113.33,357.333,67.90439492,,1.551494191,,,
1329,747,1107.5,360.5,67.44920993,,2.892635219,,,
1336,786,1113.33,327.333,70.59901377,,2.099684896,,,
1257,714,1047.5,333.5,68.16229117,,0.975538747,,,
1390,812,1158.33,346.333,70.10092115,,0.904279911,,,
1356,771,1130,359,68.2300885,,0.846209248,,,
1427,810,1189.17,379.167,68.11473549,,1.07174118,,,
1280,746,1066.67,320.667,69.93728145,,0.619835977,,,
1344,759,1120,361,67.76785714,,1.910276916,,,
1352,780,1126.67,346.667,69.23056441,,0.00649307,,,
1353,776,1127.5,351.5,68.8248337,,0.105723249,,,
1362,777,1135,358,68.45814978,,0.478635723,,,
1370,781,1141.67,360.667,68.40855939,,0.549711667,,,
1356,796,1130,334,70.44247788,,1.6705383,,,
1355,776,1129.17,353.167,68.72304436,,0.182278156,,,
1337,775,1114.17,339.167,69.55850543,,0.166889093,,,
1327,753,1105.83,352.833,68.09364911,,1.115845123,,,
1318,776,1098.33,322.333,70.65271822,,2.258207664,,,
1388,813,1156.67,343.667,70.28798188,,1.295037306,,,
1368,771,1140,369,67.63157895,,2.305556394,,,
1348,766,1123.33,357.333,68.19011332,,0.921353289,,,
1324,775,1103.33,328.333,70.24190405,,1.192287614,,,
1345,774,1120.83,346.833,69.05596745,,0.008839265,,,
1362,772,1135,363,68.01762115,,1.282247492,,,
1428,819,1190,371,68.82352941,,0.106573134,,,
1313,773,1094.17,321.167,70.64715721,,2.241525153,,,
1301,753,1084.17,331.167,69.45405241,,0.092457099,,,
1317,755,1097.5,342.5,68.79271071,,0.127644792,,,
1310,760,1091.67,331.667,69.61810804,,0.219139346,,,
1243,697,1035.83,338.833,67.28903391,,3.463138271,,,
1315,746,1095.83,349.833,68.0762527,,1.152900658,,,
1314,744,1095,351,67.94520548,,1.451493259,,,
1400,799,1166.67,367.667,68.48551861,,0.441515341,,,
1339,765,1115.83,350.833,68.55883065,,0.349463257,,,
1366,792,1138.33,346.333,69.57560637,,0.181153704,,,
1268,742,1056.67,314.667,70.22059867,,1.146214023,,,
1293,739,1077.5,338.5,68.58468677,,0.31956188,,,
1276,731,1063.33,332.333,68.74629701,,0.162963848,,,
1335,773,1112.5,339.5,69.48314607,,0.110996417,,,
1388,814,1156.67,342.667,70.37443696,,1.499283046,,,
1386,784,1155,371,67.87878788,,1.615941663,,,
1293,736,1077.5,341.5,68.3062645,,0.711863976,,,
1427,817,1189.17,372.167,68.70338135,,0.199454659,,,
1385,809,1154.17,345.167,70.09366038,,0.890523561,,,
1366,788,1138.33,350.333,69.22421442,,0.005510033,,,
1312,753,1093.33,340.333,68.8721612,,0.077185966,,,
1316,729,1096.67,367.667,66.47396209,,7.161097677,,,
1378,786,1148.33,362.333,68.44722336,,0.493873671,,,
1286,745,1071.67,326.667,69.51766869,,0.135191425,,,
1319,773,1099.17,326.167,70.32579128,,1.382520829,,,
1359,794,1132.5,338.5,70.11037528,,0.922349828,,,
1379,803,1149.17,346.167,69.87651957,,0.52785275,,,
1336,774,1113.33,339.333,69.52116623,,0.13777564,,,
1318,757,1098.33,341.333,68.92281919,,0.051604224,,,
1342,767,1118.33,351.333,68.58440711,,0.319878149,,,
1401,796,1167.5,371.5,68.17987152,,0.941119814,,,
1274,727,1061.67,334.667,68.47702205,,0.45287889,,,
1393,819,1160.83,341.833,70.55296641,,1.968357347,,,
1347,762,1122.5,360.5,67.88418708,,1.602243912,,,
1339,768,1115.83,347.833,68.82768881,,0.103874721,,,
1377,811,1147.5,336.5,70.67538126,,2.32683431,,,
1309,760,1090.83,330.833,69.67171787,,0.272205372,,,
1371,801,1142.5,341.5,70.10940919,,0.920495122,,,
1386,802,1155,353,69.43722944,,0.08250947,,,
1342,785,1118.33,333.333,70.19394991,,1.089863104,,,
1379,778,1149.17,371.167,67.7010364,,2.099451523,,,
1437,818,1197.5,379.5,68.30897704,,0.707294094,,,
1368,787,1140,353,69.03508772,,0.013201344,,,
1294,746,1078.33,332.333,69.18104847,,0.000964951,,,
1349,773,1124.17,351.167,68.76184207,,0.150654794,,,
1338,795,1115,320,71.30044843,,4.62449374,,,
1395,811,1162.5,351.5,69.76344086,,0.376328313,,,
1369,790,1140.83,350.833,69.24782834,,0.009573354,,,
1292,735,1076.67,341.667,68.26604252,,0.78135399,,,
1362,794,1135,341,69.95594714,,0.649575256,,,
1430,838,1191.67,353.667,70.32148162,,1.372404748,,,
1399,811,1165.83,354.833,69.56417316,,0.171551984,,,
1340,774,1116.67,342.667,69.31322593,,0.02664766,,,
1277,739,1064.17,325.167,69.44379188,,0.086322586,,,
1280,735,1066.67,331.667,68.90603467,,0.059511676,,,
1398,806,1165,359,69.18454936,,0.001194707,,,
1368,788,1140,352,69.12280702,,0.000738633,,,
1341,781,1117.5,336.5,69.88814318,,0.54487776,,,
1373,794,1144.17,350.167,69.39528217,,0.06017079,,,
1306,754,1088.33,334.333,69.28045721,,0.017023046,,,
1376,788,1146.67,358.667,68.72073046,,0.184259303,,,
1336,775,1113.33,338.333,69.61098686,,0.21252288,,,
1260,717,1050,333,68.28571429,,0.746963556,,,
1406,806,1171.67,365.667,68.79070045,,0.129085256,,,
1295,756,1079.17,323.167,70.05383767,,0.816949977,,,
1274,739,1061.67,322.667,69.60731677,,0.209152517,,,
1360,783,1133.33,350.333,69.0884385,,0.00378795,,,
1353,779,1127.5,348.5,69.09090909,,0.003489942,,,
1364,821,1136.67,315.667,72.22852719,,9.477423118,,,
1342,761,1118.33,357.333,68.04789284,,1.214606732,,,
1357,778,1130.83,352.833,68.79902373,,0.12317369,,,
1304,774,1086.67,312.667,71.22677538,,4.313059022,,,
1300,749,1083.33,334.333,69.13867427,,0.000127928,,,
1315,748,1095.83,347.833,68.25876276,,0.794276753,,,
1244,725,1036.67,311.667,69.93546645,,0.616981384,,,
1306,732,1088.33,356.333,67.25901151,,3.575780048,,,
1294,760,1078.33,318.333,70.47935233,,1.767217982,,,
1371,803,1142.5,339.5,70.28446389,,1.287042772,,,
1351,784,1125.83,341.833,69.63751188,,0.237682634,,,
1350,795,1125,330,70.66666667,,2.300323824,,,
1345,781,1120.83,339.833,69.68050463,,0.281451265,,,
1321,766,1100.83,334.833,69.58385945,,0.188247196,,,
1309,748,1090.83,342.833,68.57163811,,0.334484916,,,
1318,767,1098.33,331.333,69.83329236,,0.466909197,,,
1372,762,1143.33,381.333,66.64742463,,6.262807514,,,
1354,792,1128.33,336.333,70.192231,,1.086277092,,,
1330,770,1108.33,338.333,69.47389315,,0.104916609,,,
1322,744,1101.67,357.667,67.533835,,2.611940254,,,
1385,806,1154.17,348.167,69.83373333,,0.467512028,,,
1322,772,1101.67,329.667,70.07543094,,0.856450515,,,
1319,779,1099.17,320.167,70.87165771,,2.964157524,,,
1291,744,1075.83,331.833,69.15590753,,3.50785E-05,,,
1330,779,1108.33,329.333,70.28592567,,1.290361619,,,
1362,767,1135,368,67.57709251,,2.473990216,,,
1313,768,1094.17,326.167,70.19018982,,1.082026451,,,
1354,789,1128.33,339.333,69.92635133,,0.602744963,,,
1326,764,1105,341,69.14027149,,9.43487E-05,,,
1229,723,1024.17,301.167,70.59374908,,2.084455252,,,
1349,776,1124.17,348.167,69.02870562,,0.014708644,,,
1331,777,1109.17,332.167,70.05238151,,0.814319787,,,
1424,823,1186.67,363.667,69.35373777,,0.041515265,,,
1369,778,1140.83,362.833,68.19596259,,0.910158418,,,
1280,729,1066.67,337.667,68.34353643,,0.650359011,,,
1389,785,1157.5,372.5,67.81857451,,1.772653403,,,
1329,753,1107.5,354.5,67.99097065,,1.343313836,,,
1364,784,1136.67,352.667,68.97340477,,0.031180514,,,
1355,765,1129.17,364.167,67.74887749,,1.963101739,,,
1291,744,1075.83,331.833,69.15590753,,3.50785E-05,,,
1349,773,1124.17,351.167,68.76184207,,0.150654794,,,
1302,732,1085,353,67.46543779,,2.837698703,,,
1359,806,1132.5,326.5,71.16997792,,4.080372144,,,
1312,744,1093.33,349.333,68.04898795,,1.212194098,,,
1353,780,1127.5,347.5,69.17960089,,0.000877111,,,
1308,754,1090,336,69.17431193,,0.000591808,,,
1275,728,1062.5,334.5,68.51764706,,0.399851044,,,
1351,774,1125.83,351.833,68.74927831,,0.160565707,,,
1304,761,1086.67,325.667,70.03046003,,0.775236594,,,
1348,782,1123.33,341.333,69.61444989,,0.215727805,,,
1273,724,1060.83,336.833,68.24844697,,0.812770494,,,
1283,720,1069.17,349.167,67.34195685,,3.268965158,,,
1338,779,1115,336,69.86547085,,0.511920262,,,
1338,758,1115,357,67.98206278,,1.364041891,,,
1352,755,1126.67,371.667,67.01163606,,4.572535418,,,
1358,783,1131.67,348.667,69.18978147,,0.001583774,,,
1338,775,1115,340,69.50672646,,0.127264596,,,
1282,738,1068.33,330.333,69.07977872,,0.004928896,,,
1353,793,1127.5,334.5,70.33259424,,1.398565029,,,
1344,762,1120,358,68.03571429,,1.241598824,,,
1348,790,1123.33,333.333,70.32661818,,1.384466064,,,
1290,747,1075,328,69.48837209,,0.114505947,,,
1297,749,1080.83,331.833,69.2985946,,0.022084866,,,
1299,743,1082.5,339.5,68.63741339,,0.262729466,,,
1332,761,1110,349,68.55855856,,0.349785023,,,
1330,768,1108.33,340.333,69.29344148,,0.020579814,,,
1323,739,1102.5,363.5,67.02947846,,4.496547231,,,
1307,736,1089.17,353.167,67.57439151,,2.482494281,,,
1384,804,1153.33,349.333,69.71118414,,0.314944673,,,
1330,771,1108.33,337.333,69.56411899,,0.171507111,,,
1407,807,1172.5,365.5,68.82729211,,0.104130585,,,
1257,703,1047.5,344.5,67.11217184,,4.152681751,,,
1331,764,1109.17,345.167,68.88033394,,0.072711595,,,
1248,723,1040,317,69.51923077,,0.136342571,,,
1311,747,1092.5,345.5,68.37528604,,0.600158198,,,
1277,708,1064.17,356.167,66.53072347,,6.860529995,,,
1334,760,1111.67,351.667,68.3656121,,0.615240568,,,
1371,798,1142.5,344.5,69.84682713,,0.48558921,,,
1353,785,1127.5,342.5,69.62305987,,0.2238,,,
1298,756,1081.67,325.667,69.89192637,,0.550477268,,,
1445,825,1204.17,379.167,68.51192107,,0.407125344,,,
1339,787,1115.83,328.833,70.53045715,,1.90570385,,,
1345,766,1120.83,354.833,68.34221068,,0.652499056,,,
1420,808,1183.33,375.333,68.28188248,,0.753601665,,,
1379,803,1149.17,346.167,69.87651957,,0.52785275,,,
1387,795,1155.83,360.833,68.78174126,,0.13560332,,,
1364,775,1136.67,361.667,68.18161824,,0.937733842,,,
1404,799,1170,371,68.29059829,,0.738545207,,,
1300,756,1083.33,327.333,69.78483011,,0.403028539,,,
1370,806,1141.67,335.667,70.59833402,,2.097715404,,,
1224,715,1020,305,70.09803922,,0.898807137,,,
1288,745,1073.33,328.333,69.41015345,,0.067687715,,,
1369,793,1140.83,347.833,69.51079477,,0.130183822,,,
1439,833,1199.17,366.167,69.46471309,,0.099053886,,,
1333,767,1110.83,343.833,69.04746901,,0.010509491,,,
1324,762,1103.33,341.333,69.06365276,,0.007453225,,,
1301,754,1084.17,330.167,69.54628887,,0.157056897,,,
1338,772,1115,343,69.23766816,,0.007688368,,,
1435,840,1195.83,355.833,70.24409824,,1.197084179,,,
1330,774,1108.33,334.333,69.8347965,,0.468967031,,,
1354,781,1128.33,347.333,69.2173389,,0.004536572,,,
1325,745,1104.17,359.167,67.47149443,,2.817330004,,,
1327,742,1105.83,363.833,67.09892117,,4.206862087,,,
1398,800,1165,365,68.6695279,,0.230838855,,,
1357,777,1130.83,353.833,68.7105931,,0.19306508,,,
1308,755,1090,335,69.26605505,,0.013472297,,,
1372,795,1143.33,348.333,69.53373042,,0.147260685,,,
1384,792,1153.33,361.333,68.6707187,,0.229696012,,,
1431,830,1192.5,362.5,69.60167715,,0.20402596,,,
1323,751,1102.5,351.5,68.11791383,,1.065170524,,,
1374,787,1145,358,68.73362445,,0.173355954,,,
1255,714,1045.83,331.833,68.27113393,,0.772378884,,,
1354,784,1128.33,344.333,69.48321856,,0.111044727,,,
1284,731,1070,339,68.31775701,,0.692603129,,,
1355,774,1129.17,355.167,68.54592311,,0.364890547,,,
1282,730,1068.33,338.333,68.33094643,,0.670823884,,,
1380,807,1150,343,70.17391304,,1.048429007,,,
1433,854,1194.17,340.167,71.51410603,,5.589069104,,,
1344,810,1120,310,72.32142857,,10.05805547,,,
1354,774,1128.33,354.333,68.59695302,,0.305844173,,,
1255,731,1045.83,314.833,69.89663712,,0.557489658,,,
1311,756,1092.5,336.5,69.19908467,,0.002410795,,,
1319,752,1099.17,347.167,68.41525879,,0.539822345,,,
1225,694,1020.83,326.833,67.98389546,,1.359764401,,,
1411,800,1175.83,375.833,68.03704617,,1.238632435,,,
1324,780,1103.33,323.333,70.69507763,,2.387311787,,,
1375,806,1145.83,339.833,70.34202281,,1.420954577,,,
1384,801,1153.33,352.333,69.45106778,,0.090650947,,,
1384,791,1153.33,362.333,68.58401325,,0.32032382,,,
1345,784,1120.83,336.833,69.94816341,,0.637089069,,,
1319,770,1099.17,329.167,70.05285807,,0.815180098,,,
1356,784,1130,346,69.38053097,,0.053151529,,,
1352,762,1126.67,364.667,67.632936,,2.301437131,,,
1361,799,1134.17,335.167,70.44799281,,1.68482473,,,
1417,819,1180.83,361.833,69.35799395,,0.0432678,,,
1291,746,1075.83,329.833,69.34181051,,0.036797095,,,
1337,764,1114.17,350.167,68.57122342,,0.334964756,,,
1266,749,1055,306,70.99526066,,3.405042939,,,
1363,776,1135.83,359.833,68.32008311,,0.688736847,,,
1318,760,1098.33,338.333,69.19596114,,0.002113822,,,
1329,784,1107.5,323.5,70.79006772,,2.689871919,,,
1309,754,1090.83,336.833,69.12167799,,0.000801277,,,
1351,789,1125.83,336.833,70.08162867,,0.867960254,,,
1390,799,1158.33,359.333,68.97861577,,0.029367353,,,
1339,780,1115.83,335.833,69.90312144,,0.567214773,,,
1414,832,1178.33,346.333,70.60840342,,2.126984808,,,
1362,806,1135,329,71.01321586,,3.471629905,,,
1300,764,1083.33,319.333,70.52329392,,1.885977878,,,
1309,746,1090.83,344.833,68.38829148,,0.580176737,,,
1358,778,1131.67,353.667,68.74795656,,0.161626722,,,
1310,733,1091.67,358.667,67.14483315,,4.020633238,,,
1352,763,1126.67,363.667,67.72169313,,2.040017149,,,
1348,771,1123.33,352.333,68.6352185,,0.264984362,,,
1310,748,1091.67,343.667,68.51887475,,0.398299919,,,
1297,745,1080.83,335.833,68.92850865,,0.049051696,,,
1302,756,1085,329,69.67741935,,0.278187189,,,
1329,763,1107.5,344.5,68.89390519,,0.065576776,,,
1296,737,1080,343,68.24074074,,0.826724796,,,
1285,715,1070.83,355.833,66.77063586,,5.661301464,,,
1407,812,1172.5,360.5,69.25373134,,0.010763341,,,
1339,781,1115.83,334.833,69.99274083,,0.710237692,,,
1297,769,1080.83,311.833,71.14902436,,3.996159086,,,
1267,724,1055.83,331.833,68.57164506,,0.334476882,,,
1269,717,1057.5,340.5,67.80141844,,1.818631282,,,
1355,794,1129.17,335.167,70.3171356,,1.362240932,,,
1353,781,1127.5,346.5,69.26829268,,0.01399675,,,
1305,761,1087.5,326.5,69.97701149,,0.68397312,,,
1350,761,1125,364,67.64444444,,2.266651822,,,
1406,799,1171.67,372.667,68.19326261,,0.915317391,,,
1364,809,1136.67,327.667,71.17281181,,4.091829031,,,
1351,787,1125.83,338.833,69.90398195,,0.568511674,,,
1301,732,1084.17,352.167,67.5170868,,2.666355932,,,
1411,821,1175.83,354.833,69.82301863,,0.452974514,,,
1342,776,1118.33,342.333,69.38917851,,0.05721362,,,
1356,786,1130,344,69.55752212,,0.166086654,,,
1274,746,1061.67,315.667,70.26665536,,1.246953103,,,
1239,709,1032.5,323.5,68.66828087,,0.232038694,,,
1315,782,1095.83,313.833,71.3614338,,4.890506587,,,
1308,738,1090,352,67.70642202,,2.083873562,,,
1305,760,1087.5,327.5,69.88505747,,0.540331803,,,
1292,765,1076.67,311.667,71.0524116,,3.619227663,,,
1266,718,1055,337,68.05687204,,1.194895554,,,
1334,760,1111.67,351.667,68.3656121,,0.615240568,,,
1284,755,1070,315,70.56074766,,1.990251801,,,
1372,775,1143.33,368.333,67.78445418,,1.864673923,,,
1303,734,1085.83,351.833,67.59805863,,2.408474906,,,
1228,727,1023.33,296.333,71.04257669,,3.581903971,,,
1403,796,1169.17,373.167,68.08248587,,1.139554017,,,
1270,722,1058.33,336.333,68.22068731,,0.863593863,,,
1336,773,1113.33,340.333,69.4313456,,0.07916389,,,
1280,735,1066.67,331.667,68.90603467,,0.059511676,,,
1345,778,1120.83,342.833,69.41284584,,0.069095914,,,
1309,744,1090.83,346.833,68.20494486,,0.893100529,,,
1362,775,1135,360,68.28193833,,0.753504716,,,
1369,780,1140.83,360.833,68.37127355,,0.606391248,,,
1333,766,1110.83,344.833,68.95744623,,0.037071107,,,
1424,822,1186.67,364.667,69.26946834,,0.014276313,,,
1376,795,1146.67,351.667,69.3311938,,0.032836696,,,
1346,764,1121.67,357.667,68.11272478,,1.075908398,,,
1379,800,1149.17,349.167,69.61546159,,0.216668627,,,
1366,796,1138.33,342.333,69.92699832,,0.603749982,,,
1357,789,1130.83,341.833,69.77176057,,0.386605077,,,
1415,825,1179.17,354.167,69.96446653,,0.663380458,,,
1387,790,1155.83,365.833,68.34915169,,0.641333699,,,
1382,791,1151.67,360.667,68.68286922,,0.218196979,,,
1341,765,1117.5,352.5,68.45637584,,0.481093419,,,
1312,788,1093.33,305.333,72.07339047,,8.546300581,,,
1412,825,1176.67,351.667,70.11311583,,0.927621336,,,
1362,776,1135,359,68.37004405,,0.6083076,,,
1435,833,1195.83,362.833,69.65873076,,0.258822427,,,
1302,765,1085,320,70.50691244,,1.841252572,,,
1400,825,1166.67,341.667,70.71408367,,2.446405225,,,
1371,806,1142.5,336.5,70.54704595,,1.951779806,,,
1339,761,1115.83,354.833,68.2003531,,0.901800403,,,
1379,803,1149.17,346.167,69.87651957,,0.52785275,,,
1326,760,1105,345,68.77828054,,0.13816407,,,
1293,749,1077.5,328.5,69.51276102,,0.131606572,,,
1410,827,1175,348,70.38297872,,1.520273966,,,
1349,785,1124.17,339.167,69.82929628,,0.461464061,,,
1285,726,1070.83,344.833,67.79787641,,1.828197143,,,
1369,773,1140.83,367.833,67.75768519,,1.938498248,,,
1353,806,1127.5,321.5,71.48558758,,5.455040267,,,
1363,786,1135.83,349.833,69.20049655,,0.002551435,,,
1259,719,1049.17,330.167,68.5303621,,0.38393232,,,
1365,780,1137.5,357.5,68.57142857,,0.334727333,,,
1294,733,1078.33,345.333,67.9754806,,1.379460153,,,
1297,747,1080.83,333.833,69.11355162,,0.001327378,,,
1369,785,1140.83,355.833,68.80955094,,0.115895226,,,
1410,804,1175,371,68.42553191,,0.524832012,,,
1379,799,1149.17,350.167,69.52844227,,0.143230039,,,
1325,776,1104.17,328.167,70.27903312,,1.274750064,,,
1337,742,1114.17,372.167,66.5966594,,6.519470717,,,
1317,780,1097.5,317.5,71.07061503,,3.68882042,,,
1290,731,1075,344,68,,1.322465086,,,
1343,783,1119.17,336.167,69.96256154,,0.660280928,,,
1313,772,1094.17,322.167,70.55576373,,1.976214343,,,
1316,752,1096.67,344.667,68.57122015,,0.334968545,,,
1388,819,1156.67,337.667,70.80671237,,2.744746184,,,
1389,790,1157.5,367.5,68.25053996,,0.809001062,,,
