m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1046,847,871.667,24.6667,97.17013493,,0.638132333,,,
1097,888,914.167,26.1667,97.13761271,,0.587230467,,,
1124,888,936.667,48.6667,94.80423672,,2.455696931,,,
1078,860,898.333,38.3333,95.73287411,,0.407591534,,,
1063,827,885.833,58.8333,93.3584547,,9.077255316,,,
1050,844,875,31,96.45714286,,0.007368469,,,
1068,865,890,25,97.19101124,,0.671921477,,,
1078,860,898.333,38.3333,95.73287411,,0.407591534,,,
1086,885,905,20,97.79005525,,2.012857744,,,
1083,876,902.5,26.5,97.06371191,,0.479430004,,,
1112,880,926.667,46.6667,94.96399462,,1.980517081,,,
1136,915,946.667,31.6667,96.65489554,,0.080424691,,,
1056,855,880,25,97.15909091,,0.620609679,,,
1018,804,848.333,44.3333,94.77410404,,2.551044751,,,
1037,837,864.167,27.1667,96.85627894,,0.235201591,,,
1018,825,848.333,23.3333,97.24954705,,0.771312493,,,
1093,889,910.833,21.8333,97.60296344,,1.51698727,,,
1140,922,950,28,97.05263158,,0.464208537,,,
1117,902,930.833,28.8333,96.90245189,,0.282119069,,,
1077,876,897.5,21.5,97.60445682,,1.520668182,,,
1123,918,935.833,17.8333,98.09442497,,2.969149071,,,
1011,820,842.5,22.5,97.32937685,,0.917905377,,,
1149,933,957.5,24.5,97.44125326,,1.144793417,,,
1040,829,866.667,37.6667,95.65380936,,0.514797218,,,
1051,853,875.833,22.8333,97.39299615,,1.043856757,,,
1086,862,905,43,95.24861878,,1.260420005,,,
1080,872,900,28,96.88888889,,0.26789508,,,
1124,904,936.667,32.6667,96.51242117,,0.019914318,,,
1074,862,895,33,96.31284916,,0.003416859,,,
1001,792,834.167,42.1667,94.945017,,2.034291939,,,
1078,869,898.333,29.3333,96.73472977,,0.132078968,,,
1034,822,861.667,39.6667,95.39648147,,0.950277149,,,
1069,853,890.833,37.8333,95.75307605,,0.382204644,,,
1078,857,898.333,41.3333,95.39892223,,0.945524506,,,
1006,809,838.333,29.3333,96.50103241,,0.016829701,,,
1039,831,865.833,34.8333,95.97693782,,0.155523954,,,
1134,916,945,29,96.93121693,,0.313503532,,,
1126,897,938.333,41.3333,95.5950606,,0.602552369,,,
1041,848,867.5,19.5,97.75216138,,1.906769681,,,
1085,884,904.167,20.1667,97.76954921,,1.955092266,,,
1030,834,858.333,24.3333,97.16508628,,0.630091781,,,
1025,817,854.167,37.1667,95.64874316,,0.522092821,,,
1053,843,877.5,34.5,96.06837607,,0.091764768,,,
1090,857,908.333,51.3333,94.34865848,,4.091091151,,,
1108,898,923.333,25.3333,97.2563528,,0.783313025,,,
1051,856,875.833,19.8333,97.73552721,,1.861107495,,,
1102,902,918.333,16.3333,98.22145126,,3.423048325,,,
1158,946,965,19,98.03108808,,2.754886289,,,
1144,936,953.333,17.3333,98.18185251,,3.278089279,,,
1085,865,904.167,39.1667,95.6681675,,0.494399636,,,
1096,882,913.333,31.3333,96.56937831,,0.039233801,,,
1075,869,895.833,26.8333,97.00468726,,0.401175529,,,
1046,824,871.667,47.6667,94.53151261,,3.384828946,,,
1038,838,865,27,96.87861272,,0.257363078,,,
1038,846,865,19,97.80346821,,2.051096983,,,
1095,884,912.5,28.5,96.87671233,,0.255438519,,,
1202,944,1001.67,57.6667,94.24261483,,4.531313609,,,
1090,887,908.333,21.3333,97.65141198,,1.638678827,,,
1161,947,967.5,20.5,97.88113695,,2.279598348,,,
1123,908,935.833,27.8333,97.02585825,,0.428442479,,,
1094,887,911.667,24.6667,97.29429715,,0.851918072,,,
1046,821,871.667,50.6667,94.18734448,,4.769675127,,,
1110,892,925,33,96.43243243,,0.003736799,,,
1108,883,923.333,40.3333,95.63180348,,0.546859648,,,
1072,848,893.333,45.3333,94.92540855,,2.090610951,,,
1049,828,874.167,46.1667,94.71874367,,2.730952562,,,
1078,867,898.333,31.3333,96.51209518,,0.019822418,,,
1145,926,954.167,28.1667,97.04800103,,0.457920131,,,
1037,828,864.167,36.1667,95.81481357,,0.309680561,,,
1143,918,952.5,34.5,96.37795276,,4.42183E-05,,,
1090,862,908.333,46.3333,94.89911739,,2.167330664,,,
1013,816,844.167,28.1667,96.66333794,,0.085284366,,,
1046,842,871.667,29.6667,96.59652138,,0.050723286,,,
1009,797,840.833,43.8333,94.78695532,,2.510157803,,,
1116,902,930,28,96.98924731,,0.381855086,,,
1113,901,927.5,26.5,97.14285714,,0.595295687,,,
1082,859,901.667,42.6667,95.26798696,,1.217306434,,,
1115,892,929.167,37.1667,95.99996556,,0.137891546,,,
1105,875,920.833,45.8333,95.02265883,,1.818841281,,,
1057,848,880.833,32.8333,96.27250568,,0.009760923,,,
1051,826,875.833,49.8333,94.31021667,,4.248077133,,,
1070,849,891.667,42.6667,95.21491768,,1.337227178,,,
1076,871,896.667,25.6667,97.13751036,,0.587073608,,,
