m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1092,749,910,161,82.30769231,,0.124985004,,,
1072,737,893.333,156.333,82.50003078,,0.025983411,,,
1057,715,880.833,165.833,81.17316222,,2.214329312,,,
1118,744,931.667,187.667,79.85685873,,7.86446733,,,
1145,784,954.167,170.167,82.16591016,,0.245336285,,,
1077,727,897.5,170.5,81.00278552,,2.750419833,,,
1163,803,969.167,166.167,82.85465766,,0.037416391,,,
1101,758,917.5,159.5,82.61580381,,0.002063038,,,
1004,685,836.667,151.667,81.87247734,,0.622122064,,,
1150,769,958.333,189.333,80.24350617,,5.845361867,,,
1130,786,941.667,155.667,83.468997,,0.652496431,,,
1129,785,940.833,155.833,83.43669918,,0.601360995,,,
1127,767,939.167,172.167,81.66811653,,0.986263414,,,
1121,771,934.167,163.167,82.53342282,,0.016333266,,,
1088,728,906.667,178.667,80.29408813,,5.60333456,,,
1106,747,921.667,174.667,81.04879528,,2.599927955,,,
1122,756,935,179,80.85561497,,3.260225727,,,
1108,763,923.333,160.333,82.63540889,,0.000666445,,,
1040,703,866.667,163.667,81.11535342,,2.389717374,,,
1117,755,930.833,175.833,81.11014543,,2.405846254,,,
1083,748,902.5,154.5,82.88088643,,0.048251366,,,
1065,737,887.5,150.5,83.04225352,,0.145183123,,,
1012,655,843.333,188.333,77.66801489,,24.93214212,,,
1024,710,853.333,143.333,83.2031575,,0.293691389,,,
1129,795,940.833,145.833,84.49958707,,3.379576968,,,
1104,750,920,170,81.52173913,,1.298426885,,,
1065,748,887.5,139.5,84.28169014,,2.625908926,,,
1121,783,934.167,151.167,83.81798972,,1.33810579,,,
1086,765,905,140,84.53038674,,3.493767518,,,
1110,742,925,183,80.21621622,,5.978065459,,,
1050,732,875,143,83.65714286,,0.991853394,,,
1026,714,855,141,83.50877193,,0.718336663,,,
1027,706,855.833,149.833,82.49272931,,0.028390627,,,
1051,691,875.833,184.833,78.89631928,,14.17451127,,,
1116,792,930,138,85.16129032,,6.250329167,,,
1056,720,880,160,81.81818182,,0.710720947,,,
1105,773,920.833,147.833,83.94573175,,1.649958888,,,
1019,707,849.167,142.167,83.25806349,,0.356216792,,,
1039,708,865.833,157.833,81.77096507,,0.792561834,,,
1160,791,966.667,175.667,81.82755799,,0.694999832,,,
1066,733,888.333,155.333,82.51410226,,0.021644952,,,
1075,736,895.833,159.833,82.15817011,,0.253063714,,,
1058,717,881.667,164.667,81.32322067,,1.790254218,,,
1165,811,970.833,159.833,83.53650937,,0.766123619,,,
1091,749,909.167,160.167,82.38310453,,0.07735071,,,
1192,814,993.333,179.333,81.94633622,,0.511065233,,,
1053,735,877.5,142.5,83.76068376,,1.208810688,,,
1086,752,905,153,83.09392265,,0.187227699,,,
1135,790,945.833,155.833,83.52425851,,0.744827721,,,
1075,755,895.833,140.833,84.27910113,,2.617524813,,,
1125,790,937.5,147.5,84.26666667,,2.577444583,,,
1060,734,883.333,149.333,83.09437098,,0.187615881,,,
1045,724,870.833,146.833,83.1387878,,0.228066719,,,
1002,684,835,151,81.91616766,,0.555109673,,,
1145,784,954.167,170.167,82.16591016,,0.245336285,,,
1094,733,911.667,178.667,80.40216439,,5.10335255,,,
1017,704,847.5,143.5,83.06784661,,0.165341547,,,
1124,802,936.667,134.667,85.62274533,,8.770605686,,,
1089,777,907.5,130.5,85.61983471,,8.753374438,,,
1102,756,918.333,162.333,82.32307888,,0.114342451,,,
1065,745,887.5,142.5,83.94366197,,1.644645895,,,
1120,767,933.333,166.333,82.17860078,,0.232925647,,,
1091,750,909.167,159.167,82.49309533,,0.028267415,,,
1068,766,890,124,86.06741573,,11.60213877,,,
1099,742,915.833,173.833,81.01913777,,2.696448801,,,
,,,,82661.22449,,2073.422581,,,
