m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1081,805,900.833,95.8333,89.36173519,,1.021409388,,,
1046,775,871.667,96.6667,88.91009984,,0.312495146,,,
1140,829,950,121,87.26315789,,1.183590151,,,
1111,814,925.833,111.833,87.92082373,,0.185126642,,,
1144,825,953.333,128.333,86.5384918,,3.28550206,,,
1139,854,949.167,95.1667,89.97362951,,2.632643576,,,
1059,783,882.5,99.5,88.72521246,,0.139969721,,,
1112,789,926.667,137.667,85.14385426,,10.28634304,,,
1106,828,921.667,93.6667,89.83721887,,2.208587357,,,
1046,770,871.667,101.667,88.3364863,,0.000213186,,,
1099,801,915.833,114.833,87.46136031,,0.791613915,,,
1148,857,956.667,99.6667,89.58185032,,1.514777882,,,
1041,763,867.5,104.5,87.95389049,,0.157765219,,,
1042,772,868.333,96.3333,88.90598422,,0.307910719,,,
1072,784,893.333,109.333,87.76122678,,0.347935307,,,
1070,798,891.667,93.6667,89.49529365,,1.309208415,,,
1142,825,951.667,126.667,86.68998715,,2.759253347,,,
1043,761,869.167,108.167,87.55509586,,0.633602204,,,
1088,793,906.667,113.667,87.46320314,,0.788338089,,,
1004,723,836.667,113.667,86.4143082,,3.75111285,,,
1074,769,895,126,85.92178771,,5.901495966,,,
1076,803,896.667,93.6667,89.55387005,,1.446686619,,,
1082,812,901.667,89.6667,90.05541957,,2.904748871,,,
1014,726,845,119,85.91715976,,5.924002718,,,
1024,748,853.333,105.333,87.65628424,,0.482751138,,,
1121,833,934.167,101.167,89.17035177,,0.671194449,,,
1097,810,914.167,104.167,88.60525484,,0.064601194,,,
1006,725,838.333,113.333,86.48114771,,3.496673673,,,
1107,822,922.5,100.5,89.10569106,,0.569426996,,,
1051,777,875.833,98.8333,88.7155428,,0.132827894,,,
1011,725,842.5,117.5,86.05341246,,5.279309152,,,
1033,761,860.833,99.8333,88.40274478,,0.002668507,,,
1161,851,967.5,116.5,87.95865633,,0.154001979,,,
1034,773,861.667,88.6667,89.7098299,,1.846181751,,,
1038,762,865,103,88.09248555,,0.066874809,,,
1115,837,929.167,92.1667,90.08068517,,2.991509182,,,
1086,807,905,98,89.17127072,,0.67270102,,,
1030,735,858.333,123.333,85.63110122,,7.398323699,,,
1032,755,860,105,87.79069767,,0.314036409,,,
1135,842,945.833,103.833,89.02205781,,0.450201566,,,
1129,821,940.833,119.833,87.26309558,,1.183725752,,,
1101,804,917.5,113.5,87.62942779,,0.520792285,,,
1061,765,884.167,119.167,86.5221163,,3.345134527,,,
1151,824,959.167,135.167,85.90787631,,5.969279387,,,
1096,799,913.333,114.333,87.48178375,,0.755688466,,,
1067,797,889.167,92.1667,89.63445562,,1.647034526,,,
1068,791,890,99,88.87640449,,0.27595827,,,
1110,821,925,104,88.75675676,,0.164567797,,,
1044,758,870,112,87.12643678,,1.499768623,,,
1190,881,991.667,110.667,88.84030627,,0.23933531,,,
1076,791,896.667,105.667,88.21558059,,0.018362039,,,
1102,806,918.333,112.333,87.76772696,,0.340309161,,,
1050,758,875,117,86.62857143,,2.967060548,,,
1043,752,869.167,117.167,86.51962166,,3.354265985,,,
1186,903,988.333,85.3333,91.36596673,,9.089498664,,,
1030,755,858.333,103.333,87.96119921,,0.152012638,,,
1144,857,953.333,96.3333,89.89513633,,2.384087737,,,
1066,778,888.333,110.333,87.5797702,,0.594929901,,,
1032,757,860,103,88.02325581,,0.107473411,,,
1084,803,903.333,100.333,88.89302173,,0.293693048,,,
1090,820,908.333,88.3333,90.27526249,,3.702450571,,,
1063,782,885.833,103.833,88.27849042,,0.005270292,,,
1056,767,880,113,87.15909091,,1.420855134,,,
1064,784,886.667,102.667,88.42101939,,0.004890513,,,
1127,836,939.167,103.167,89.0150527,,0.4408502,,,
1075,797,895.833,98.8333,88.96747496,,0.379933889,,,
1081,792,900.833,108.833,87.91862643,,0.187022312,,,
1111,800,925.833,125.833,86.40867197,,3.77297687,,,
1069,791,890.833,99.8333,88.79329796,,0.195550364,,,
1058,778,881.667,103.667,88.24193261,,0.011914722,,,
1121,822,934.167,112.167,87.99283212,,0.128346698,,,
1162,851,968.333,117.333,87.88299067,,0.219114356,,,
1050,786,875,89,89.82857143,,2.182959675,,,
1066,779,888.333,109.333,87.6923406,,0.433947073,,,
1056,780,880,100,88.63636364,,0.081382651,,,
1009,740,840.833,100.833,88.00796353,,0.117733845,,,
1070,775,891.667,116.667,86.91585536,,2.05989041,,,
1163,867,969.167,102.167,89.45826674,,1.225846552,,,
1026,760,855,95,88.88888889,,0.289230667,,,
1060,781,883.333,102.333,88.4151277,,0.004101187,,,
1086,790,905,115,87.29281768,,1.119934357,,,
1061,797,884.167,87.1667,90.14134208,,3.20501256,,,
1005,746,837.5,91.5,89.07462687,,0.523509662,,,
1012,751,843.333,92.3333,89.0514186,,0.49046408,,,
1116,819,930,111,88.06451613,,0.082122973,,,
1168,869,973.333,104.333,89.28085249,,0.864463519,,,
1111,843,925.833,82.8333,91.05313809,,7.301079082,,,
1037,770,864.167,94.1667,89.10314789,,0.565595292,,,
1073,786,894.167,108.167,87.90304272,,0.200743847,,,
1015,757,845.833,88.8333,89.49757222,,1.314427914,,,
1089,815,907.5,92.5,89.80716253,,2.120155409,,,
1081,803,900.833,97.8333,89.13971846,,0.621939281,,,
1080,798,900,102,88.66666667,,0.099590406,,,
1072,766,893.333,127.333,85.74630065,,6.784912911,,,
1076,775,896.667,121.667,86.43119464,,3.685987422,,,
1072,793,893.333,100.333,88.76868984,,0.174391973,,,
1110,812,925,113,87.78378378,,0.321833155,,,
1132,806,943.333,137.333,85.4417263,,8.464380762,,,
1110,818,925,107,88.43243243,,0.006617048,,,
1108,813,923.333,110.333,88.0505733,,0.090308596,,,
1051,756,875.833,119.833,86.31782543,,4.134153384,,,
1088,798,906.667,108.667,88.01467352,,0.113174155,,,
1164,864,970,106,89.07216495,,0.519953134,,,
1108,809,923.333,114.333,87.61736015,,0.538355368,,,
1061,787,884.167,97.1667,89.01033402,,0.434606384,,,
1098,810,915,105,88.52459016,,0.030103282,,,
1031,747,859.167,112.167,86.94468014,,1.977980796,,,
1079,791,899.167,108.167,87.9703103,,0.144991041,,,
1073,813,894.167,81.1667,90.92261289,,6.612744426,,,
1092,802,910,108,88.13186813,,0.048056995,,,
1063,787,885.833,98.8333,88.84293089,,0.241910226,,,
1077,779,897.5,118.5,86.79665738,,2.416252029,,,
1056,762,880,118,86.59090909,,3.098226941,,,
1127,843,939.167,96.1667,89.76039405,,1.986145829,,,
1095,789,912.5,123.5,86.46575342,,3.554483407,,,
1001,730,834.167,104.167,87.51245254,,0.703308072,,,
1093,795,910.833,115.833,87.28274009,,1.141365536,,,
1069,785,890.833,105.833,88.11977105,,0.053507159,,,
1046,746,871.667,125.667,85.58314127,,7.661524625,,,
1108,794,923.333,129.333,85.99281083,,5.561467401,,,
1140,833,950,117,87.68421053,,0.444724485,,,
